Lesson Number,Lesson Title,Chapter Title,Module Title,Description,Resource Number,Key Concept,Concept Definition,Resource Title,Resource Description,Resource Link,Resource Source
1.2.2,,,,,2,energy value chain,"The energy value chain refers to the full range of processes involved in the production, distribution, and consumption of energy, including extraction, generation, transmission, and end-use.","Position Paper: Off-Grid Renewable Energies to Achieve SDG 7 and SDG 13 â Cheaper, Cleaner, and Smarter",,https://www.ruralelec.org/publication/position-paper-off-grid-renewable-energies-to-achieve-sdg-7-and-sdg-13-cheaper-cleaner-and-smarter/,Alliance for Rural Electrification
1.2.2,,,,,3,water-energy-food nexus,"The water-energy-food nexus refers to the interconnectedness of water, energy, and food systems, highlighting how the management of one resource affects the others, and emphasizing the need for integrated approaches to ensure sustainability and security in these critical areas.",2023 Policy Briefs in Support of the High-Level Political Forum,,https://sdgs.un.org/sites/default/files/2023-07/2023%20Policy%20Briefs%20in%20Support%20of%20the%20High-Level%20Political%20Forum-071023.pdf?_gl=1*16t6zhv*_ga*MTMxMDE1ODkxMi4xNzIxMjA5NzY0*_ga_TK9BQL5X7Z*MTcyMjQzNTAwNS4yLjEuMTcyMjQzNTA4Ni4wLjAuMA..,UN
1.2.3,Energy Efficiency (SDG 7.3),,,Improving energy efficiency for building sustainable and resilient socieities,1,energy and digitalization,"Energy and digitalization refers to the integration of digital technologies into the energy sector, enhancing efficiency, management, and innovation in energy production, distribution, and consumption.",Policies for Sustainable Energy & Energy Efficiency,,https://www.esmap.org/node/137960,ESMAP
1.2.3,,,,,2,energy efficiency,"Energy efficiency refers to using less energy to perform the same task or produce the same outcome, thereby reducing energy waste and lowering costs.",Energy Efficiency 2022,,https://www.iea.org/reports/energy-efficiency-2022,IEA
1.2.3,,,,,3,waste-to-energy solutions,"Waste-to-energy solutions are processes that convert non-recyclable waste materials into usable forms of energy, typically electricity or heat, through methods such as combustion, gasification, or anaerobic digestion.",Energy Efficiency: The Decade for Action,,https://www.iea.org/reports/energy-efficiency-the-decade-for-action,IEA
1.3.1,Integrated Approach,"Approaches, Methods and Tools for Strategic Innovation ",,Adopting varied approaches and tools to deliver the energy transition,1,critical minerals for energy transition,"Critical minerals for energy transition are essential raw materials, such as lithium, cobalt, and rare earth elements, that are necessary for the production of renewable energy technologies, batteries, and electric vehicles, playing a key role in reducing carbon emissions and facilitating the shift to sustainable energy systems.","At the Current Pace, Only 23% of the Sustainable Development Goal Targets Will Be Achieved by 2030 in Latin America and the Caribbean",,https://www.cepal.org/en/pressreleases/current-pace-only-23-sustainable-development-goal-targets-will-be-achieved-2030-latin,Economic Commission for Latin America and the Caribbean
1.3.1,,,,,2,energy diversification,"Energy diversification refers to the strategy of using a variety of energy sources and technologies to meet energy needs, reducing dependence on a single source and enhancing energy security.",Sustainable Energy Policies in Latin America and the Caribbean,,http://www.unece.org/index.php?id=41058,UNECLAC
1.3.1,,,,,3,integrated power markets,"Integrated power markets refer to interconnected electricity markets that allow for the seamless exchange of electricity across different regions or countries, promoting competition, efficiency, and reliability in energy supply.",Natural Resources in Latin America and the Caribbean - No.4,,https://repositorio.cepal.org/entities/publication/92302718-7d39-442a-8ef7-de6bbafdbf3d,UN ECLAC
1.3.2,"Frameworks, Methods, and Tools",,,"Africa’s energy transition is a transformative opportunity to address energy poverty, unlock green growth, and foster inclusive development.",1,grid reliability,Grid reliability refers to the ability of an electrical grid to consistently deliver electricity to consumers without interruptions or failures.,Renewable Energy and Sustainability Report 2023,,https://www.irena.org/Energy-Transition/Planning/SPLAT-Models-for-Africa,IEA
1.3.2,,,,,2,low-carbon transport,"Low-carbon transport refers to transportation methods and systems that produce minimal greenhouse gas emissions, often through the use of renewable energy sources, electric vehicles, public transit, cycling, and walking.",World Bank Unveils Major Initiative to Scale Up Energy Efficiency in Europe and Central Asia,,"https://www.worldbank.org/en/news/press-release/2024/06/25/world-bank-unveils-major-initiative-to-scale-up-energy-efficiency-in-europe-and-central-asia#:~:text=WASHINGTON%2C%20June%2027%2C%202024%E2%80%94,across%20Europe%20and%20Central%20Asia.",World Bank
1.3.2,,,,,3,sustainable heating,"Sustainable heating refers to methods of heating spaces that minimize environmental impact, often using renewable energy sources, energy efficiency practices, and low-carbon technologies.",Toward a Framework for a Sustainable Heating Transition in Eastern and Central Asia,,https://www.esmap.org/Toward_a_Framework_for_Sustainable_Heating_Transition_ECA,ESMAP
1.4.1,The Sustainable Energy Academy: Modules 2-8,The Sustainable Energy Academy,,Learning the vision of the Sustainable Energy Academy,1,energy moonshot,"An energy moonshot refers to an ambitious, large-scale initiative aimed at achieving a breakthrough in energy technology or sustainability, often with the goal of significantly reducing carbon emissions or enhancing energy efficiency.",UNIDO Energy Branch 2015: Advancing Sustainable Energy Solutions,,https://www.unido.org/fileadmin/user_media_upgrade/What_we_do/Topics/Energy_access/UNIDO_ENERGY_Branch_2015.pdf,UNIDO
1.4.1,,,,,2,the undp sustainable energy hub,"The UNDP Sustainable Energy Hub is a platform created by the United Nations Development Programme to promote sustainable energy solutions, facilitate knowledge sharing, and support countries in achieving their energy-related goals, particularly in the context of sustainable development and climate action.",Asia energy profile : energy sector performance (English),,https://energy.ec.europa.eu/document/download/73d666b2-f6b4-4623-bc92-5981c3e73b56_en?filename=01%20-%20Energy%20Modelling%20in%20the%20EU%20and%20China.pdf,IRENA
1.4.1,,,,,3,,,Public Finance For Universal Energy Access,,https://www.esmap.org/Toward_a_Framework_for_Sustainable_Heating_Transition_ECA,UNDP
2.1.1,Energy Access - Core Concepts,Topic Overview and Background,Energy Access and Inclusive Energy Services ,"This lesson focuses on global perspective on energy access and on the link between energy access and poverty alleviation. It also covers the nuances between energy access and inclusive energy services, and the types of energy uses and applications",1,energy access,"Energy access refers to the ability of individuals and communities to obtain reliable and affordable energy services, such as electricity and clean cooking fuels, necessary for their daily activities and economic development.",Energy Access: Towards Achievement of SDG7 & Net Zero Emissions,,https://www.esmap.org/energy-access_towards_achievement_sdg7_net_zero_emissions,ESMSP
2.1.1,,,,,2,fundamental energy needs,"The basic requirements for energy that are essential for human survival and well-being, including energy for heating, cooking, lighting, and basic transportation.",Energy Access and Air Pollution,,https://www.iea.org/reports/energy-access-and-air-pollution,IEA
2.1.1,,,,,3,inclusive energy services,"Inclusive energy services refer to energy solutions that are accessible, affordable, and equitable for all individuals and communities, particularly marginalized or underserved populations, ensuring that everyone can benefit from reliable energy access.",A Survey of International Activities in Energy Access and Electrification,,https://sustainabledevelopment.un.org/content/documents/1272A%20Survey%20of%20International%20Activities%20in%20Energy%20Access%20and%20Electrification.pdf,United Nations Development Programme
2.1.2,Sustainable Energy to power development,,,"This lesson focuses on  the critical requirements to ensure sustainable energy access, including the building blocks of sustainable energy access",1,energy and development economics,"Energy and development economics is the study of how energy resources and policies impact economic growth, social development, and environmental sustainability in different regions.",RE-organising Power Systems for the Transition,,https://www.irena.org/Publications/2022/Jun/RE-organising-Power-Systems-for-the-Transition,IRENA
2.1.2,,,,,2,sustainable energy access,"Sustainable energy access refers to the ability of all individuals and communities to obtain reliable, affordable, and clean energy sources that meet their needs without compromising the environment or future generations.",Power Planning to the People,,https://rmi.org/insight/power-planning-to-the-people/,RMI
2.1.2,,,,,3,,,Bottlenecks and Breakthroughs in Power Systems & Clean Energy,,https://www.energyalliance.org/news-insights/bottlenecks-and-breakthroughs/,Global Energy Alliance for People and Planet
2.1.3,Energy Poverty and Fuel Poverty,,,"This lesson covers the reality of energy poverty, its causes and impacts, and the tools to measure the challenge of addressing this issue",1,fuel poverty,"Fuel poverty is a situation where a household cannot afford to keep their home adequately warm due to high energy costs, low income, or poor energy efficiency.",Delivering Energy Services for Poverty Reduction: Success Stories,,https://www.undp.org/publications/delivering-energy-services-poverty-reduction-success-stories,UNDP
2.1.3,,,,,2,,,Renewables 2016 Global Status Report,,https://www.irena.org/Publications/2023/Jul/Geopolitics-of-the-Energy-Transition-Critical-Materials,REN 21
2.1.3,,,,,3,,,Global Energy Transformation Guide: Fossil Fuel Transition Strategies,,https://rmi.org/insight/global-energy-transformation-guide-fossil-fuel-transition-strategies/,RMI
2.2.1,The Energy Access Landscape,"Current Status, Trends and Barriers to Energy Access",,This lesson provides an overview of the key characteristics and statistics of the disparities in access to energy services,1,energy access for informal settlements,"Energy access for informal settlements refers to the availability and affordability of reliable energy services, such as electricity and clean cooking fuels, for residents living in unplanned or informal housing areas, ensuring they can meet their basic energy needs and improve their quality of life.",Progress on basic energy access reverses for first time in a decade,,https://www.who.int/news/item/12-06-2024-progress-on-basic-energy-access-reverses-for-first-time-in-a-decade,World Health Organization
2.2.1,,,,,2,energy in crisis settings,"Energy in crisis settings refers to the provision and management of energy resources in areas affected by emergencies, such as natural disasters, armed conflicts, or humanitarian crises, where access to reliable energy is critical for survival, recovery, and rebuilding efforts.",Guidebook for Improved Electricity Access Statistics,,https://www.iea.org/reports/guidebook-for-improved-electricity-access-statistics,IEA
2.2.1,,,,,3,global energy gap,"The global energy gap refers to the disparity between the world's energy demand and the available energy supply, highlighting the need for increased energy production and sustainable solutions to meet future energy needs.",Asia-Pacific Progress in Sustainable Energy,,https://trackingsdg7.esmap.org/data/files/download-documents/asia-pacific_regional_gtf_2017_report.pdf,ECA
2.2.2,Status and Trends,,,"This lesson focuses on current status and trends on the global energy gap including access to fundamental energy needs: electricity, clean cooking, heating and cooling. Each part examines the unique challenges aand progress withtin these critical areas",1,access to clean cooking,"Access to clean cooking refers to the availability and use of safe, efficient, and environmentally friendly cooking methods and fuels, which reduce health risks and environmental impact compared to traditional cooking practices.",Global Status Report 2023,,https://www.ren21.net/gsr-2023-launch-30-march/,REN 21
2.2.2,,,,,2,heating and cooling fuels and technologies,"Heating and cooling fuels and technologies refer to the various energy sources (like natural gas, electricity, and renewable options) and systems (such as furnaces, heat pumps, and air conditioners) used to regulate indoor temperatures for comfort and efficiency.",Renewable Energy Policy Network for the 21st Century (REN21) Renewables 2024 Global Status Report,,"https://www.ren21.net/gsr-2024/#:~:text=RENEWABLES%20GLOBAL%20STATUS%20REPORT%202024%20COLLECTION&text=In%20addition%20to%20providing%20a,%2C%20industry%2C%20transport%20and%20agriculture.",REN21
2.2.2,,,,,3,,,Renewables 2016 Global Status Report,,http://www.ren21.net/wp-content/uploads/2016/10/REN21_GSR2016_FullReport_en_11.pdf,Renewable Energy Policy Network for the 21st Century
2.2.3,Challenges for universal energy access,,,"This lesson explores the complex challenges obstructing equitable acccess to sustainable energy, highlighting issues in infrastructure and capacity, uneven distirbtuion of investments and the need for comprehensive measurement approaches.",1,energy affordability,Energy affordability refers to the ability of individuals or households to pay for the energy they need without compromising their basic living standards or financial stability.,Public Finance For Universal Energy Access,,https://www.irena.org/Publications/2024/May/Public-finance-for-universal-energy-access,IRENA
2.2.3,,,,,2,financial de-risking strategies,"Financial de-risking strategies are methods used by organizations to reduce financial risks associated with investments or projects, often by diversifying funding sources, securing insurance, or implementing risk management practices.",The Energy Transition: A Catalyst to Address the Global Triple Crisis,,https://www.seforall.org/publications/the-energy-transition-a-catalyst-to-address-the-global-triple-crisis,IRENA
2.2.3,,,,,3,,,Security of Clean Energy Transitions 2022,,https://www.iea.org/reports/security-of-clean-energy-transitions-2022,IEA
2.3.1,An Intersectional Approach ,Bridging the Energy Access Gap,,This lesson explores  how an intersectional approach can transform energy access by addressing the overlapping identities that shape people's experience and challenges. The lesson presents practical strategies to operationalize intersectionality in sustainable energy acces sprogramming.,1,inclusive and sustainable energy access,"Inclusive and sustainable energy access refers to the ability of all individuals and communities, regardless of their socio-economic status, to obtain reliable, affordable, and clean energy services that support their needs while promoting environmental sustainability.",Green Hydrogen: A People-Centred Approach to Sustainable Development in Namibia,,https://www.undp.org/namibia/stories/green-hydrogen-people-centred-approach-sustainable-development-namibia,UNDP
2.3.1,,,,,2,,,Independent Evaluation of Green Climate Fund's Energy Sector Portfolio and Approach,,https://ieu.greenclimate.fund/sites/default/files/document/070924-energy-sector-evaluation-final-report_0.pdf,Green Climate Fund
2.3.1,,,,,3,,,Beyond Borders: Power Grid Interconnections and Regional Electricity Markets for the Sustainable Energy Transition,,https://openknowledge.worldbank.org/entities/publication/4020f27e-341c-4883-a3ad-b603fc82cb48,World Bank
2.3.2,Technological Solutions,,,The lesson highlights the key technological solutions that can accelerate the path towards universal energy access while supporting the transition to clean energy.,1,e-cooking,"E-cooking refers to the use of electric appliances and devices for cooking food, which can include methods such as induction cooking, electric ovens, and microwaves, often emphasizing energy efficiency and sustainability.",Energy Technology Perspectives 2023,,https://www.iea.org/reports/energy-technology-perspectives-2023,IEA
2.3.2,,,,,2,mini-grids,"Mini-grids are small-scale power generation and distribution systems that can operate independently or in conjunction with the main electrical grid, providing electricity to local communities, often in remote or underserved areas.",Renewable Solutions in End Uses: Heat Pump Costs and Markets,,https://www.irena.org/Publications/2022/Nov/Renewable-solutions-in-end-uses-Heat-pump-costs-and-markets,IRENA
2.3.2,,,,,3,off-grid renewable energy systems,"Off-grid renewable energy systems are energy setups that generate power independently from the traditional electricity grid, using renewable sources like solar, wind, or hydro, to provide energy for homes or communities.",The Energy Transition in 2025: What to Watch For,,https://rmi.org/the-energy-transition-in-2025-what-to-watch-for/,Rocky Mountain Institute
2.3.3,Financing Mechanisms,,,This lesson explains how financing mechanisms can incentivize energy access and inclusive energy services with a focus on underserved and vulnerable communities.,1,microfinancing,"Microfinancing is a financial service that provides small loans and financial support to individuals or small businesses, typically in developing countries, to help them start or expand their operations.",Making the Clean Energy Transition Affordable,,https://rmi.org/insight/making-the-clean-energy-transition-affordable/,RMI
2.3.3,,,,,2,pay as you go models,"Pay as you go models are payment systems where customers pay for services or products in advance or as they use them, rather than committing to long-term contracts or upfront costs.",Accerlating the Energy Transition in Emerging Markets â Strategies for Unlocking Investment,,https://www.irena.org/Publications/2023/May/The-cost-of-financing-for-renewable-power,IRENA
2.3.3,,,,,3,result-based financing models,"Result-based financing models are financial mechanisms that provide funding based on the achievement of specific outcomes or results, rather than on the inputs or processes used to achieve them.",Mainstreaming Financial Aggregation for Distributed Renewable Energy,,https://www.undp.org/publications/mainstreaming-financial-aggregation-distributed-renewable-energy,UNDP
2.3.4,Policy Frameworks,,,"This lesson explores three policy instruments: subsidies, tax incentives and regulatory reforms, and how they contribute to the promotion of sustainable energy solutions.",1,energy subsidies,"Financial support from the government to promote energy production or consumption, often aimed at reducing costs for consumers or encouraging the use of renewable energy sources.",Policy frameworks for pumped storage hydropower development,,https://www.hydropower.org/publications/pumped-storage-policy-framework,International Hydropower Association
2.3.4,,,,,2,fossil fuel subsidies,"Fossil fuel subsidies are financial support and incentives provided by governments to the fossil fuel industry, which can include tax breaks, grants, and price controls, aimed at reducing the cost of fossil fuels like coal, oil, and natural gas.",Fostering Effective Energy Transition 2023,,https://www3.weforum.org/docs/WEF_Fostering_Effective_Energy_Transition_2023.pdf,WEF
2.3.4,,,,,3,,,Renewable Energy Targets in 2022,,https://www.irena.org/Publications/2022/Nov/Renewable-energy-targets-in-2022,IRENA
2.3.5,Collaborative Multi-Stakeholder Partnerships,,,"This lesson explores the importance of multi-stakeholder partnerships and the role of international organizations, NGOs, development agencies, the private sector and local communities in advancing energy access objectives, as well as the associated challenges and conflicts.",1,community empowerment,"Community empowerment is the process of enabling individuals and groups within a community to gain control over their lives, make decisions, and take action to improve their social, economic, and environmental conditions.",Derisking Renewable Energy Investment,,https://www.iea.org/reports/skills-development-and-inclusivity-for-clean-energy-transitions,IRENA
2.3.5,,,,,2,multi-stakeholder partnership,"A multi-stakeholder partnership is a collaborative arrangement involving various parties, such as governments, businesses, non-profits, and communities, working together to achieve common goals, often related to sustainable development or social impact.",Delivering Sustainable Energy in a Changing Climate,,https://www.un-energy.org/wp-content/uploads/2017/01/UNDP-Energy-Strategy-2017-2021.pdf,UNDP
2.3.5,,,,,3,"participatory diagnosis, design, monitoring, and evaluation","A collaborative approach that involves stakeholders in the processes of diagnosing issues, designing solutions, monitoring progress, and evaluating outcomes to ensure that their perspectives and needs are integrated.",Vast Federal Lands Have Potential for Renewable Energy - But Only a Small Fraction Is Needed,,https://www.nrel.gov/news/program/2025/vast-federal-lands-have-potential-for-renewable-energy-but-only-a-small-fraction-is-needed.html,National Renewable Energy Laboratory
3.1.1,The Energy Transition In Context,Introduction to the Energy Transition Landscape,Just Energy Transition,"This lesson will explore how a just transition is about more than just technical solutions or policy frameworks; it is about addressing deep-rooted socio-economic disparities, fostering participatory governance, and empowering all stakeholders to engage in the transition process.",1,energy transition,"The energy transition refers to the global shift from fossil fuel-based energy systems to renewable and sustainable energy sources, aimed at reducing greenhouse gas emissions and combating climate change.",Securing the Energy Transition,,https://www.weforum.org/whitepapers/securing-the-energy-transition/,RMI
3.1.1,,,,,2,net zero,"Net zero refers to the balance between the amount of greenhouse gas emissions produced and the amount removed from the atmosphere, resulting in no net increase in emissions.","Critical Transitions: Circularity, equity, and responsibility in the quest for energy transition minerals",,https://wedocs.unep.org/handle/20.500.11822/46623,UNEP
3.1.1,,,,,3,carbon neutrality,Carbon neutrality is the state of achieving net-zero carbon emissions by balancing the amount of carbon released with an equivalent amount of carbon offset or removed from the atmosphere.,AFD and the Just Energy Transition,,https://www.afd.fr/en/ressources/afd-and-just-energy-transition,French Development Agency
3.1.2,Unpacking The Concept Of A Just Energy Transition,,,"This lesson outlines the just energy transition, focusing on fairness, equity, and inclusivity in sustainable energy shifts. Originating from labor rights, it addresses historical inequities through environmental, climate, and energy justice. It highlights localized solutions and global frameworks like the AJET principles to balance urgent climate action with social and economic justice.",1,,,Finding Common Ground for a Just Energy Transition: Labour and Employer Perspective,,https://www.irena.org/Publications/2023/Aug/Finding-common-ground-for-a-just-energy-transition-Labour-and-employer-perspectives,IRENA
3.1.2,,,,,2,,,Sector Coupling: A Key Concept for Accelerating the Energy Transformation,,https://www.irena.org/Publications/2022/Dec/Sector-coupling-A-key-concept-for-accelerating-the-energy-transformation,IRENA
3.1.2,,,,,3,,,Gender equality in the sustainable energy transition,,https://www.unwomen.org/en/digital-library/publications/2023/05/gender-equality-in-the-sustainable-energy-transition,UN Women
3.1.3,Key Challenges In The Global South,,,"This lesson delves into the specific challenges and opportunities that developing countries face in the context of the just energy transition. By examining these dynamics, we aim to shed light on strategies and initiatives that can facilitate a transition towards a more sustainable and equitable energy future for all.",1,energy equity,"Energy equity refers to the fair distribution of energy resources and services, ensuring that all individuals and communities have access to affordable, reliable, and clean energy, regardless of their socioeconomic status.",The Growing Debt Burdens of Global South Countries: Standing in the Way of Climate and Development Goals,,https://www.cepr.net/report/the-growing-debt-burdens-of-global-south-countries-standing-in-the-way-of-climate-and-development-goals/,CEPR
3.1.3,,,,,2,localized solutions,"Localized solutions refer to strategies or approaches that are specifically designed to address environmental, social, or economic challenges within a particular community or region, taking into account its unique characteristics and needs.",The Sustainable Development Goals Report 2023: Special Edition,,https://unstats.un.org/sdgs/report/2023/,UN
3.1.3,,,,,3,,,Dutch Green Hydrogen proposition for South Africa,,https://www.rvo.nl/sites/default/files/2023-08/Dutch-GH2-proposition-for-South-Africa.pdf,Netherlands Enterprise Agency
3.2.1,Human rights and socio-economic impacts,Ensuring a Just Transition for Workers and Affected Communities,,"This lesson addresses human rights and socio-economic challenges in renewable energy transitions, including land displacement, labor rights abuses in mineral extraction, and inequitable benefits. It emphasizes inclusive policies, the Escazú Agreement for environmental democracy, and participatory processes like FPIC to protect indigenous rights and ensure equity.",1,"free, prior, and informed consent (fpic)","Free, prior, and informed consent (FPIC) is a principle that ensures that indigenous peoples and local communities have the right to give or withhold their consent for projects affecting their land, resources, and rights, based on full information and without coercion.",Security of Clean Energy Transitions 2022,,https://www.irena.org/Publications/2022/Apr/Grid-codes-for-renewable-powered-systems,IRENA
3.2.1,,,,,2,inclusive policy frameworks,"Inclusive policy frameworks are guidelines and strategies designed to ensure that all individuals, regardless of their background or circumstances, have equal access to opportunities, resources, and decision-making processes in various sectors, including social, economic, and environmental areas.",Renewable Energy and Sustainability Report,,https://www.ren21.net/renewable-energy-and-sustainability-report-2024/,Renewable Energy Policy Network for the 21st Century
3.2.1,,,,,3,,,UN SDSN Global Climate Hub: Modelling Net Zero Pathways,,https://www.undp.org/sites/g/files/zskgke326/files/publications/Financing_the_2030_Agenda_CO_Guidebook.pdf,UNDP
3.2.2,Worker Retraining and Employment Disparities,,,"This lesson focuses on worker retraining and skills development for renewable energy transitions, emphasizing policies to address job displacement, regional disparities, and gender gaps. ",1,gender gap in energy employment,"The gender gap in energy employment refers to the disparity between the number of men and women working in the energy sector, often characterized by fewer women in technical, leadership, and decision-making roles compared to their male counterparts.","Decarbonization, Energy Policy, Net-Zero Pathways",,https://un-energy.org/wp-content/uploads/2017/01/1608Electricity-and-Education.pdf,Mckinsey
3.2.2,,,,,2,just transition workforce programs,"Just transition workforce programs are initiatives designed to support workers and communities in transitioning to sustainable jobs and industries, ensuring that the shift to a greener economy is fair and equitable, providing training, resources, and support for those affected by changes in the job market.",Energy Modelling in the EU and China,,https://www.iea.org/reports/electricity-market-report-2023,IRENA
3.2.2,,,,,3,skills development ecosystems,"Skills development ecosystems refer to interconnected networks of organizations, institutions, and resources that collaboratively support the continuous learning and enhancement of skills among individuals, often tailored to meet the needs of the labor market and promote economic growth.",Skills Development and Inclusivity for Clean Energy Transitions,,https://www.iea.org/reports/skills-development-and-inclusivity-for-clean-energy-transitions,IEA
3.2.3,Social Safety Nets and Income Support,,,"This lesson focuses on social safety nets and income support in energy transitions, emphasizing measures like Energy Safety Nets (ESNs) to prevent energy poverty and ensure affordability for vulnerable groups. It highlights targeted subsidies to reduce inequalities, gender-sensitive policies for inclusive access, and the role of these programs in poverty reduction and social stability during shifts to sustainable energy.",1,energy safety nets (esns),"Energy safety nets (ESNs) are programs or policies designed to protect vulnerable populations from energy poverty and ensure access to affordable energy services, often through subsidies, financial assistance, or targeted support.",Solar PV: A Gender Perspective,,https://www.iea.org/reports/tracking-clean-energy-innovation-in-the-business-sector-an-overview,IRENA
3.2.3,,,,,2,gender-sensitive  measures,"Gender-sensitive measures are policies or actions that take into account the different needs, roles, and experiences of individuals based on their gender, aiming to promote equality and address disparities.",Generating Meaningful Energy Systems Models for Africa,,https://www.un-energy.org/wp-content/uploads/2017/01/UNDP-Energy-Strategy-2017-2021.pdf,Carbon Trust
3.2.3,,,,,3,targeted energy subsidies,"Targeted energy subsidies are financial support measures provided by governments to specific sectors, groups, or technologies to promote energy efficiency, renewable energy, or reduce energy costs for vulnerable populations.",Scaling Up Investments in Ocean Energy Technologies,,https://unctad.org/publication/trade-and-development-report-update-april-2024,IRENA
3.3.1,Critical Minerals and Materials,A JET that Preserves Nature and Catalyzes Economic Growth,,"This lesson addresses critical minerals essential for renewable energy technologies, highlighting challenges like rising demand, geographic concentration, and environmental/social impacts. It emphasizes the need for responsible extraction practices to bridge gaps between policies and on-ground outcomes. While offering economic opportunities for resource-rich nations, it underscores risks of resource mismanagement and calls for international cooperation to ensure equitable governance, sustainable development, and a just energy transition.",1,critical minerals,"Critical minerals are natural resources that are essential for the production of high-tech devices, renewable energy technologies, and other advanced applications, and are at risk of supply disruption.",Geopolitics of the Energy Transition: Critical Materials,,https://www.irena.org/Publications/2023/Jul/Geopolitics-of-the-Energy-Transition-Critical-Materials,IRENA
3.3.1,,,,,2,responsible extraction practices,"Responsible extraction practices refer to methods of obtaining natural resources that prioritize environmental sustainability, social equity, and economic viability, ensuring minimal harm to ecosystems and communities.",Critical Minerals Policy Tracker,,https://www.iea.org/reports/critical-minerals-policy-tracker,IEA
3.3.1,,,,,3,sustainable supply chains,"Sustainable supply chains refer to the management of the flow of goods and services in a way that minimizes environmental impact, promotes social responsibility, and ensures economic viability throughout the entire lifecycle of a product.",Critical Materials for the Energy Transition: Rare Earth Elements,,https://www.irena.org/Technical-Papers/Critical-Materials-For-The-Energy-Transition-Rare-Earth-elements,IRENA
