Lesson Number,Lesson Title,Chapter Title,Module Title,Description,Resource Number,Key Concept,Concept Definition,Resource Title,Resource Description,Resource Link,Resource Source,Resource ID
1.2.1,,,,,2,energy and health,"The relationship between energy consumption, production, and its impact on human health, including how energy systems affect air quality, access to clean water, and overall well-being.",SDG7 Interactions ,The study provides an overview of interactions at the goal level between SDG7 – the ‘entry level goal’ for this assessment – and the other 16 SDGs.,IIASA PURE,https://pure.iiasa.ac.at/id/eprint/14621/1/SDGs-interactions-7-clean-energy.pdf,1212
1.2.1,,,,,3,sdg synergies,"SDG synergies refer to the interconnected benefits and positive interactions that occur when efforts to achieve one Sustainable Development Goal (SDG) also support the achievement of other SDGs, leading to more effective and holistic progress in sustainable development.",A Vision for Clean Cooking Access for All,"The report evidences that transforming the clean cooking landscape is a complex endeavour with no straight-forward solutions, but one that requires the establishment of clear policies and robust regulatory frameworks as foundational elements for attracting and driving investment in clean cooking projects.",IEA,https://www.iea.org/reports/a-vision-for-clean-cooking-access-for-all,1213
1.2.2,Renewable energy (SDG 7.2),,,Leveraging the SDG synergies and navigating the trade-offs in the energy transition,1,community rights in renewable energy,"Community rights in renewable energy refer to the legal and social entitlements of local communities to participate in, benefit from, and have a say in renewable energy projects that affect their environment and livelihoods.","Addressing Energy’s Interlinkages with
other SDGs","This document was prepared in support of the review of the SDGs at the United Nations High-Level Political
Forum 2022. This edition takes a closer look at interlinkages between energy and SDG 4 (education), SDG 5 (gender), and SDG 15 (life on land), identifying potential indicators that could help in tracking global progress in these interlinkages.",United Nations,https://sdgs.un.org/publications/report-2022-sdg7-tag-policy-briefs-addressing-energys-interlinkages-other-sdgs-47727,1221
1.2.2,,,,,2,energy value chain,"The energy value chain refers to the full range of processes involved in the production, distribution, and consumption of energy, including extraction, generation, transmission, and end-use.",From goals to joules: A quantitative approach of interlinkages between energy and the Sustainable Development Goals,"This study aims to examine the complexity of the interconnections between energy and the SDGs, as well as give examples of how these linkages can be quantified.",ScienceDirect,https://www.sciencedirect.com/science/article/abs/pii/S2214629618308107,1222
1.2.2,,,,,3,water-energy-food nexus,"The water-energy-food nexus refers to the interconnectedness of water, energy, and food systems, highlighting how the management of one resource affects the others, and emphasizing the need for integrated approaches to ensure sustainability and security in these critical areas.",Building a Nature-positive Energy Transformation - Why a Low-Carbon Economy is Better for People and Nature,This report is builds on existing studies and quantifies and compares 30 environmental and socioeconomic impact metrics in two different energy scenarios for the future. It also presents a framework for establishing the nature-positive energy transformation that is essential to achieving critical climate and sustainable development goals.,WWF,"https://wwf.panda.org/wwf_news/?9967866/Building-a-Nature-Positive-Energy-Transformation#:~:text=An%20energy%20system%20powered%20by,human%20health%2C%20biodiversity%20and%20ecosystems.",1223
1.2.3,Energy Efficiency (SDG 7.3),,,Improving energy efficiency for building sustainable and resilient socieities,1,energy and digitalization,"Energy and digitalization refers to the integration of digital technologies into the energy sector, enhancing efficiency, management, and innovation in energy production, distribution, and consumption.",Energy efficiency and sustainable development goals (SDGs),This study attempts to connect Sustainable Development Goals (SDGs) with energy efficiency for 20 Asian and Pacific (AP) countries using Data Envelopment Analysis (DEA) from 2000 to 2018.,ScienceDirect,https://www.sciencedirect.com/topics/economics-econometrics-and-finance/sustainable-development-goals ,1231
1.2.3,,,,,2,energy efficiency,"Energy efficiency refers to using less energy to perform the same task or produce the same outcome, thereby reducing energy waste and lowering costs.",Energy Efficiency 2024,"Energy Efficiency 2024 is the IEA’s primary annual analysis on global energy efficiency developments, showing recent trends in energy intensity and demand, prices and policies. The report provides sector-specific analysis on buildings, appliances, industry and transport and explores system-wide themes such as electrification, flexibility, investment and employment. This report is launched in parallel with the new IEA Energy Efficiency Progress Tracker.",IEA,https://iea.blob.core.windows.net/assets/f304f2ba-e9a2-4e6d-b529-fb67cd13f646/EnergyEfficiency2024.pdf,1232
1.2.3,,,,,3,waste-to-energy solutions,"Waste-to-energy solutions are processes that convert non-recyclable waste materials into usable forms of energy, typically electricity or heat, through methods such as combustion, gasification, or anaerobic digestion.",From Efficiency to Sustainability: Examining the Paradox of Digitalization of Energy,"The study aims to analyze the implementations and benefits of digital technologies across various aspects of the energy industry. It specifically discusses the impact of the digitalization of energy on achieving Sustainable Development Goals, highlighting the benefits and challenges it can bring.",SPRINGER NATURE LINK,https://link.springer.com/chapter/10.1007/978-3-031-68427-2_1,1233
1.3.1,Arab  States,Regions,,sustainable energy in the Arab states,1,,,,,,,
1.3.1,,,,,2,,,,,,,
1.3.1,,,,,3,,,,,,,
1.3.2,Latin America and the Caribbean ,,,Sustainable energy in Latin America and the Caribbeans,1,,,,,,,
1.3.2,,,,,2,,,,,,,
1.3.2,,,,,3,,,,,,,
1.3.3,Africa,,,Sustainable energy in Africa,1,,,,,,,
1.3.3,,,,,2,,,,,,,
1.3.3,,,,,3,,,,,,,
1.3.4,Asia and the Pacific,,,Sustainable energy in Asia Pacific,1,,,,,,,
1.3.4,,,,,2,,,,,,,
1.3.4,,,,,3,,,,,,,
1.3.5,Eastern Europe and Central Asia,,,Sustainable energy in Eastern Europe and Central Asia,1,,,,,,,
1.3.5,,,,,2,,,,,,,
1.3.5,,,,,3,,,,,,,
1.4.1,Leveraging Cross-Cutting Approaches to Drive Systemic Change,"Approaches, Methods and Tools for Strategic Innovation ",Operationalizing Sustainable Energy Systems Transformation,Adopting varied approaches and tools to deliver the energy transition,1,critical minerals for energy transition,"Critical minerals for energy transition are essential raw materials, such as lithium, cobalt, and rare earth elements, that are necessary for the production of renewable energy technologies, batteries, and electric vehicles, playing a key role in reducing carbon emissions and facilitating the shift to sustainable energy systems.",Intersectionality Resource Guide and toolkit,"The “Intersectionality resource guide and toolkit”, a UN Women and United Nations Partnership on the Rights of Persons with Disabilities led collaborative initiative with support from United Nations and non-United Nations entities, aims to help both organizations and individual practitioners and experts to address intersectionality in policies and programmes.",UNWOMEN,https://www.unwomen.org/en/digital-library/publications/2022/01/intersectionality-resource-guide-and-toolkit,1311
1.4.1,,,,,2,energy diversification,"Energy diversification refers to the strategy of using a variety of energy sources and technologies to meet energy needs, reducing dependence on a single source and enhancing energy security.",Gender Mainstreaming: A Global Strategy for Achieving Gender Equality and the Empowerment of Women and Girls,This brief sets a strategy for gender mainstreaming at programmatic and institutional levels to achieve transformative gender results. ,UNWOMEN,https://www.unwomen.org/en/digital-library/publications/2020/04/brochure-gender-mainstreaming-strategy-for-achieving-gender-equality-and-empowerment-of-women-girls,1312
1.4.1,,,,,3,integrated power markets,"Integrated power markets refer to interconnected electricity markets that allow for the seamless exchange of electricity across different regions or countries, promoting competition, efficiency, and reliability in energy supply.",Leaving No One Behind: Equality and Non-Discrimination at the Heart of Sustainable Development,"This publication sets out a conceptual framework that includes equality (the imperative of moving towards substantive equality of opportunity and outcomes for all groups), non-discrimination and the broader concept of equity. ",United Nations,https://unsceb.org/sites/default/files/imported_files/CEB%20equality%20framework-A4-web-rev3.pdf,1313
1.4.2,Addressing SDG7 Trade-offs for Sustainable Outcomes,,,"Africa‚Äôs energy transition is a transformative opportunity to address energy poverty, unlock green growth, and foster inclusive development.",1,grid reliability,Grid reliability refers to the ability of an electrical grid to consistently deliver electricity to consumers without interruptions or failures.,Implementing the  Water–Energy–Food–Ecosystems Nexus and Achieving the Sustainable Development Goals,This publication compiles a number of case studies with the aim of highlighting the importance and benefits of the WEFE Nexus approach for development cooperation. It identifies pathways for a more integrated and sustainable use of resources that goes beyond traditional sector-specific development silos. ,UNESCO,https://unesdoc.unesco.org/ark:/48223/pf0000379588,1321
1.4.2,,,,,2,low-carbon transport,"Low-carbon transport refers to transportation methods and systems that produce minimal greenhouse gas emissions, often through the use of renewable energy sources, electric vehicles, public transit, cycling, and walking.",Integrating the Three Dimensions of Sustainable Development - A Frameworks & Tools,This publication was produced to assist policymakers in addressing the question of how to achieve integration across the policy cycle and to assess levels of integration. This publication is a first step towards meeting the needs of policymakers for frameworks and tools to integrate the three dimensions of sustainable development.,UNESCAP,https://www.unescap.org/sites/default/files/Integrating%20the%20three%20dimensions%20of%20sustainable%20development%20A%20framework.pdf,1322
1.4.2,,,,,3,sustainable heating,"Sustainable heating refers to methods of heating spaces that minimize environmental impact, often using renewable energy sources, energy efficiency practices, and low-carbon technologies.",Life Cycle Assessment in Renewable Energy: Solar and Wind Perspectives,"The article underscores the significance of material selection in photovoltaic, solar, and wind systems, providing a critical overview of the current state of LCA research in renewable energy and stressing the need for standardized methodologies.",MDPI,https://www.mdpi.com/2076-3298/11/7/147,1323
1.4.3,Scaling Strategies that Enable Equitable Energy Transitions,,,,1,,,,,,,
1.4.3,,,,,2,,,,,,,
1.4.3,,,,,3,,,,,,,
2.1.1,Energy Access - Core Concepts,"Understanding Energy Access: Concepts, Context, and Background",Energy Access and Inclusive Energy Services ,"This lesson offers a global overview of energy access, highlighting its critical role in human rights, poverty reduction, and inclusive sustainable development.",1,energy access,"Energy access refers to the ability of individuals and communities to obtain reliable and affordable energy services, such as electricity and clean cooking fuels, necessary for their daily activities and economic development.",Renewable Energy and the Right to Development: Realizing Human Rights for Sustainable Development,"This publication highlights the critical role of renewable energy in advancing human rights, economic development and climate action. It emphasizes the need for equitable energy access and policy reforms to ensure a just transition while safeguarding vulnerable population and preventing human rights abuses in energy projects.",UNHR,https://www.ohchr.org/sites/default/files/2022-05/KMEnergy-EN.pdf,2111
2.1.1,,,,,2,fundamental energy needs,"The basic requirements for energy that are essential for human survival and well-being, including energy for heating, cooking, lighting, and basic transportation.",Guidelines for developing inclusive energy infrastructure,"This publication aims to bridge the gap in inclusive energy infrastructure development, focusing on practical strategies for sustainable energy solutions in developing countries and fragile contexts. These guidelines support stakeholders in creating resilient and equitable energy systems.",UNOPS,https://content.unops.org/publications/Guidelines-for-developing-inclusive-energy-infrastructure_EN.pdf,2112
2.1.1,,,,,3,inclusive energy services,"Inclusive energy services refer to energy solutions that are accessible, affordable, and equitable for all individuals and communities, particularly marginalized or underserved populations, ensuring that everyone can benefit from reliable energy access.",,Accelerating the Productive Use of Electricity : Enabling Energy Access to Power Rural Economic Growth.,ESMAP,https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099092023192023389/p1751521d3f58f6f1307c1499619e141b8baef6de8dd,2113
2.1.2,Sustainable Energy to power development,,,"This lesson focuses on  the critical requirements to ensure sustainable energy access, including the building blocks of sustainable energy access",1,energy and development economics,"Energy and development economics is the study of how energy resources and policies impact economic growth, social development, and environmental sustainability in different regions.",A Vision for Clean Cooking Access for All ,"This report by the IEA and African Development Bank highlights global clean cooking trends, with a focus on Africa’s urgent needs. It examines the current state, costs of inaction, and benefits of achieving UN SDG 7, providing country-level assessments and a roadmap for universal access through targeted policies, technologies, and investments.","IEA, African Development Bank",https://www.iea.org/reports/a-vision-for-clean-cooking-access-for-all,2121
2.1.2,,,,,2,sustainable energy access,"Sustainable energy access refers to the ability of all individuals and communities to obtain reliable, affordable, and clean energy sources that meet their needs without compromising the environment or future generations.",African Energy Outlook 2022,"Part of the IEA's World Energy Outlook series, this report outlines pathways to achieve Africa’s energy goals, including universal energy access by 2030. It addresses infrastructure needs, financing, policy priorities, a shifting fuel mix, and just transition issues like affordability and employment.",IEA ,https://www.iea.org/reports/africa-energy-outlook-2022,2122
2.1.2,,,,,3,,,World Energy Outlook 2024,"The IEA’s World Energy Outlook 2024 provides an analysis on global energy trends, focusing on the implications for energy security, emissions, and economic development amid rising geopolitical tensions. This year’s report highlights the rapid growth of clean energy investment and electricity demand, assessing global progress toward a more sustainable energy system. It also includes scenario-based insights on key uncertainties, such as the impact of AI, heatwaves, and policy shifts on the future of energy.",IEA,https://www.iea.org/reports/world-energy-outlook-2024,2123
2.1.3,Energy Poverty and Fuel Poverty,,,"This lesson covers the reality of energy poverty, its causes and impacts, and the tools to measure the challenge of addressing this issue",1,fuel poverty,"Fuel poverty is a situation where a household cannot afford to keep their home adequately warm due to high energy costs, low income, or poor energy efficiency.",Lost in the dark: A survey of energy poverty from space 2024,"This report presents a groundbreaking analysis of global energy poverty using high-resolution nighttime satellite imagery. The authors introduce new metrics through the High-Resolution Electricity Access (HREA) platform, offering a spatially detailed, and consistent method to track electricity use, access, and reliability.",Joulé,https://www.cell.com/joule/abstract/S2542-4351(24)00201-0?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS2542435124002010%3Fshowall%3Dtrue,2131
2.1.3,,,,,2,energy poverty,"Energy Poverty is a lack of access to adequate, affordable, reliable, and high-quality energy services that are also environmentally friendly. This lack of access impacts various aspects of life, including lighting, cooking, heating, and overall economic development opportunities. ","Energy Poverty: Addressing the Intersection of Sustainable Development Goals, 2021","Published in collaboration with the G20, this report examines the multifaceted nature of energy poverty and its connections to various Sustainable Development Goals. It emphasizes the necessity for integrated policies that simultaneously address energy access, economic development, and environmental sustainability, offering policy recommendations to alleviate energy poverty in developing nations. ","SEforALL, G20",https://www.seforall.org/system/files?file=2021-06/G20-SEforALL-Energy-poverty-executive-note.pdf,2132
2.1.3,,,,,3,,, State of Access to Modern Energy Cooking Services,"
Published by the World Bank's Energy Sector Management Assistance Program (ESMAP), this report focuses on the challenges and progress related to access to modern energy cooking services. It emphasizes that approximately 2.6 billion people globally still lack access to clean cooking solutions, leading to significant health and environmental issues. The report provides data-driven insights and policy recommendations to accelerate access to modern cooking energy services.","World Bank,",https://documents.worldbank.org/en/publication/documents-reports/documentdetail/937141600195758792/the-state-of-access-to-modern-energy-cooking-services,2133
2.2.1,The Energy Access Landscape,"Current Status, Trends and Barriers to Energy Access",,This lesson provides an overview of the key characteristics and statistics of the disparities in access to energy services,1,energy access for informal settlements,"Energy access for informal settlements refers to the availability and affordability of reliable energy services, such as electricity and clean cooking fuels, for residents living in unplanned or informal housing areas, ensuring they can meet their basic energy needs and improve their quality of life.",Human Development Report 2023-24. Breaking the gridlock: Reimagining cooperation in a polarized world,"This report explores how rising inequality, political polarization, and fragmented global cooperation are creating a dangerous gridlock in addressing urgent global challenges. It calls for a reinvigorated multilateralism to overcome this paralysis and reimagine cooperation in a rapidly changing and interconnected world.",UNDP,https://hdr.undp.org/content/human-development-report-2023-24?_gl=1*1ofp1sy*_gcl_au*MTA3MDg5MDAzOS4xNzI5NTM5Mjg0*_ga*MTM0NDIyOTU0NS4xNzI5MzMwNjU4*_ga_3W7LPK0WP1*MTcyOTUzOTI4NC4xLjEuMTcyOTU0MDYzOC42MC4wLjA.,2211
2.2.1,,,,,2,energy in crisis settings,"Energy in crisis settings refers to the provision and management of energy resources in areas affected by emergencies, such as natural disasters, armed conflicts, or humanitarian crises, where access to reliable energy is critical for survival, recovery, and rebuilding efforts.",Small Island Developing States at a Crossroads: Towards equitable energy access in least-electrified countries,"This report highlights the urgent need for equitable energy access in the least-electrified SIDS, which also face overlapping challenges like poverty, food insecurity, and climate vulnerability. It advocates for decentralized renewable energy over fossil fuel expansion, presenting case studies from Guinea-Bissau, Papua New Guinea, and Vanuatu to illustrate the potential development benefits.",IRENA,https://www.irena.org/Publications/2024/Mar/SIDS-at-a-Crossroads-Towards-equitable-energy-access-in-least-electrified-countries,2212
2.2.1,,,,,3,global energy gap,"The global energy gap refers to the disparity between the world's energy demand and the available energy supply, highlighting the need for increased energy production and sustainable solutions to meet future energy needs.",Leaving No One Behind - Rethinking Energy Access Programs in Displacement Settings,"This report, Leaving No One Behind – Rethinking Energy Access Programs in Displacement Settings, explores how access to energy can improve the lives of forcibly displaced persons, who are often among the most vulnerable and overlooked populations. It offers a set of actionable recommendations to reshape energy access interventions in displacement contexts, emphasizing the World Bank and ESMAP’s role in leading inclusive, sustainable, and development-focused solutions.",World Bank Group,https://documents.worldbank.org/pt/publication/documents-reports/documentdetail/099530012072237207/p17514905315bf0a40b3d4071242447e86c,2213
2.2.2,Status and Trends,,,"This lesson focuses on current status and trends on the global energy gap including access to fundamental energy needs: electricity, clean cooking, heating and cooling. Each part examines the unique challenges aand progress withtin these critical areas",1,access to clean cooking,"Access to clean cooking refers to the availability and use of safe, efficient, and environmentally friendly cooking methods and fuels, which reduce health risks and environmental impact compared to traditional cooking practices.","Access to Electricity - SDG7: Data and Projections, 2024","This report provides data and projections related to global electricity access. It focuses on recent metrics on electricity deficits, presents regional insights, tracks progress and presents future projections in energy access.",IEA,https://www.iea.org/reports/sdg7-data-and-projections/access-to-electricity?utm_source=chatgpt.com,2221
2.2.2,,,,,2,heating and cooling fuels and technologies,"Heating and cooling fuels and technologies refer to the various energy sources (like natural gas, electricity, and renewable options) and systems (such as furnaces, heat pumps, and air conditioners) used to regulate indoor temperatures for comfort and efficiency.","Energizing health: accelerating electricity access in health-care facilities, 2023","This report offers a detailed overview of the status of energy access in health-care facilities across low- and middle-income countries, outlining key technical, financial, and policy actions needed to achieve universal electrification. It serves as a resource for governments, investors, and development actors involved in planning, financing, and implementing energy solutions to strengthen health systems.",IRENA,https://www.irena.org/Publications/2023/Jan/Energizing-health-accelerating-electricity-access-in-health-care-facilities,2222
2.2.2,,,,,3,,,Achieving Universal Access by 2030 and Net-Zero Emissions by 2050: A Global Roadmap for Just and Inclusive Clean Cooking Transition,"This UN-Energy policy brief presents a global roadmap to achieve universal access to clean cooking by 2030 and net-zero emissions in the cooking sector by 2050. It outlines key milestones, investment needs, and policy actions required for a just and inclusive clean cooking transition, emphasizing benefits for health, gender equity, and climate while highlighting the role of governments, development partners, and private sector actors.",UN Energy,https://www.un.org/en/energy/page/new-un-energy-policy-brief-provides-roadmap-clean-cooking,2223
2.2.3,Challenges for universal energy access,,,"This lesson explores the complex challenges obstructing equitable acccess to sustainable energy, highlighting issues in infrastructure and capacity, uneven distirbtuion of investments and the need for comprehensive measurement approaches.",1,energy affordability,Energy affordability refers to the ability of individuals or households to pay for the energy they need without compromising their basic living standards or financial stability.,"Geopolitics of the Energy Transition. Energy Security, 2024","This report explores how the global shift to renewable energy is reshaping the concept of energy security. It examines emerging trade patterns, regional interdependencies, and infrastructure challenges, urging policymakers to move beyond fossil fuel-era thinking and adopt a multidimensional, resilience-focused approach for the renewable energy era.",IRENA,https://www.irena.org/-/media/Files/IRENA/Agency/Publication/2024/Apr/IRENA_Geopolitics_transition_energy_security_2024.pdf,2231
2.2.3,,,,,2,financial de-risking strategies,"Financial de-risking strategies are methods used by organizations to reduce financial risks associated with investments or projects, often by diversifying funding sources, securing insurance, or implementing risk management practices.","Grid planning under uncertainty: Investing for the energy transition, 2023","This report explores how electric grid planners must adapt to rising climate risks, rapid electrification, and growing demand by adopting more integrated, predictive, and granular planning strategies. It highlights the need for new tools, data, and performance metrics to ensure that grid investments are resilient, efficient, and aligned with the energy transition and customer expectations.",McKinsey & Company,https://www.mckinsey.com/industries/electric-power-and-natural-gas/our-insights/grid-planning-under-uncertainty-investing-for-the-energy-transition,2232
2.2.3,,,,,3,,,"Informal Settlements: No Longer Invisible: The role of impact in scaling capital mobilisation to fund slum-upgrading programmes globally, 2022","This report makes the case for placing urban informality at the center of the global impact investment agenda. It highlights the immense social, economic, and environmental challenges faced by over a billion people living in slums across the Global South, and proposes innovative financial instruments to scale investment in slum upgrading and unlock transformative development opportunities.",GSG,https://www.gsgimpact.org/media/ojbfa45n/informal-settlements-report-aug-2022.pdf,2233
2.3.1,An Intersectional Approach ,Bridging the Energy Access Gap,,This lesson explores  how an intersectional approach can transform energy access by addressing the overlapping identities that shape people's experience and challenges. The lesson presents practical strategies to operationalize intersectionality in sustainable energy acces sprogramming.,1,inclusive and sustainable energy access,"Inclusive and sustainable energy access refers to the ability of all individuals and communities, regardless of their socio-economic status, to obtain reliable, affordable, and clean energy services that support their needs while promoting environmental sustainability.","HOW CAN ENERGY ACCESS PROGRAMMES ADDRESS
THE NEEDS OF PEOPLE WITH DISABILITIES? 2021","Over one billion people globally need assistive products to lead healthy, productive lives, yet 90% lack access. This checklist, developed by Efficiency for Access, aims to support energy access programs and off-grid appliance manufacturers in designing solutions that meet the needs of people with disabilities.","UKAid, Ikea Foundation",https://efficiencyforaccess.org/publications/how-can-energy-access-programmes-address-the-needs-of-people-with-disabilities/,2311
2.3.1,,,,,2,,,"Inclusive energy access in emergencies, a handbook for humanitarians, 2020","This handbook equips humanitarian practitioners with practical tools to improve inclusive energy access in emergencies. It provides a roadmap to address the energy-related needs, safety considerations, and empowerment opportunities that make an immense difference in the lives of women, girls, and other commonly marginalized groups.",Mercy Corps,https://www.mercycorps.org/research-resources/inclusive-energy-access-emergencies,2312
2.3.1,,,,,3,,,Intersectionality resource guide and toolkit. An Intersectional Approach to Leave No One Behind,"This Resource Guide and Toolkit provides a practical framework to apply intersectionality, bridging theory and practice. It helps practitioners address intersecting inequalities, embedding an intersectional mindset to advance the 2030 Agenda and its goals.","UNWomen, UNPRPD",https://www.unwomen.org/sites/default/files/2022-01/Intersectionality-resource-guide-and-toolkit-en.pdf,2313
2.3.2,Technological Solutions,,,The lesson highlights the key technological solutions that can accelerate the path towards universal energy access while supporting the transition to clean energy.,1,e-cooking,"E-cooking refers to the use of electric appliances and devices for cooking food, which can include methods such as induction cooking, electric ovens, and microwaves, often emphasizing energy efficiency and sustainability.","No time to waste: Pathways to deliver clean cooking for all, 2025","This policy brief outlines UNDP's commitment to addressing inequities in clean cooking access, emphasizing its role in integrating energy, climate, and sustainable development efforts to improve lives. It provides policy recommendations to scale up clean cooking solutions, advance equity and social justice, and foster partnerships to enhance financing and programming for clean cooking in developing countries.",UNDP,https://www.undp.org/publications/no-time-waste-pathways-deliver-clean-cooking-all-undp-approach-and-policy-guide,2321
2.3.2,,,,,2,mini-grids,"Mini-grids are small-scale power generation and distribution systems that can operate independently or in conjunction with the main electrical grid, providing electricity to local communities, often in remote or underserved areas.","Off-Grid Solar Market Trends Report 2024. ESMAP, 2024","Comprehensive analysis of off-grid solar market trends (2022–2023), highlighting resilience amid global challenges and investment needs for universal energy access by 2030. Published by ESMAP and WB, this go-to resource informs investors, policymakers, and industry stakeholders on solar market dynamics.",ESMAP,https://www.esmap.org/Off-Grid_Solar_Market_Trends_Report_2024,2322
2.3.2,,,,,3,off-grid renewable energy systems,"Off-grid renewable energy systems are energy setups that generate power independently from the traditional electricity grid, using renewable sources like solar, wind, or hydro, to provide energy for homes or communities.","Powering progress: market creation strategies for solar e-cooking technologies in off-grid and displaced communities, 2024","Explores off-grid solar e-cooking as a dual solution for climate change mitigation and adaptation. This WFP report emphasizes the role of clean cooking in reducing CO2 emissions and advancing economic development, health, gender equality, and environmental sustainability in low-income settings.",WFP,https://www.wfp.org/publications/powering-progress-market-creation-strategies-solar-e-cooking-technologies-grid-and,2323
2.3.3,Financing Mechanisms,,,This lesson explains how financing mechanisms can incentivize energy access and inclusive energy services with a focus on underserved and vulnerable communities.,1,microfinancing,"Microfinancing is a financial service that provides small loans and financial support to individuals or small businesses, typically in developing countries, to help them start or expand their operations.","Derisking Renewable Energy Investment: Off-Grid Electrification, 2018","This report provides a framework to help policymakers in developing countries attract private investment in solar PV-battery mini-grids. It outlines public policy and financial instruments to reduce, transfer, or compensate for investment risks in off-grid energy markets, using case studies in Kenya and Uttar Pradesh, India to demonstrate how targeted derisking strategies can lower financing costs, improve affordability, and catalyze private sector investment to accelerate universal electricity access.",UNDP,https://www.undp.org/sites/g/files/zskgke326/files/publications/2018%20DREI%20Off-Grid%20Full%20Report%20Final%20(20190306).pdf,2331
