json_path,sentence_idx,sentence_text,sentence_hash
"['modules', 0, 'chapters', 2, 'lessons', 0, 'title']",0,Chapter 2 Introduction,2ed4868b4179970a36b304c2d2993b7551e0cc7800a8bb07746aedfdd47af7f1
"['modules', 0, 'chapters', 2, 'lessons', 1, 'title']",0,Lesson 1: <strong>Access to electricity and clean cooking (SDG 7.1)</strong>,fb65a630c2e7e286d10000fd96ceaa4c5f05673c6380fb0d96899d7a63538ada
"['modules', 0, 'chapters', 2, 'lessons', 1, 'description']",0,Catalyzing progress across the SDGs through universal energy access,035949a8ffeb4f7ec9cb2136e9d28bf8426bdf3ab897372b46806d7bd430c778
"['modules', 0, 'chapters', 2, 'lessons', 2, 'title']",0,Lesson 2: <strong>Renewable energy (SDG 7.2)</strong>,e7859e8b1bc35f56c39664cd6b5b3c8d991a6c7a2674fa03a1567a69e1a8c817
"['modules', 0, 'chapters', 2, 'lessons', 2, 'description']",0,Leveraging the SDG synergies and navigating the trade-offs in the energy transition,852cd9c6d00f898a8bee43f83266ab0f9472c902928ab27d1d3afaadfa970b90
"['modules', 0, 'chapters', 2, 'lessons', 3, 'title']",0,Lesson 3: <strong>Energy Efficiency (SDG 7.3)</strong>,8fb2c8274f59d1e6c1548129c4cd6920550a51d216919b17a1acee5e97ff5ca3
"['modules', 0, 'chapters', 2, 'lessons', 3, 'description']",0,Improving energy efficiency for building sustainable and resilient socieities,bc470ffbfe73724e3e699681712a0857aca47ebb45b5008c9829ed0d97b15436
"['modules', 0, 'chapters', 2, 'lessons', 4, 'title']",0,Chapter 2 Outro,9f04c62d7cc6e967f6b54a472f357aa0f9576e8ad0be7d680c87501be42ed47f
"['modules', 0, 'chapters', 2, 'lessons', 4, 'description']",0,Outro of the chapter and wrap-up.,106690cf445cf90197d996d0a49c12e84d3f1aa1b4576fad0eecee9ad8ecc035
"['modules', 0, 'chapters', 3, 'title']",0,Chapter 3: <strong>Regions</strong>,dfec97926e1ed0c770932f2241fb12eeb426f0f553b57a3376c8c6748fd43dc8
"['modules', 0, 'chapters', 3, 'description']",0,"This chapter describes approaches and methods currently being applied - within the UN system and beyond - to uncover system interconnections, policy coherence and strengthen integration across the SDGs.",7bf75e645d58cbdf0cf80e94be064ba53c9127feb47f40f736254b026b25069d
"['modules', 0, 'chapters', 3, 'lessons', 0, 'title']",0,Chapter 3 Introduction,8d1c3d7a5df58afb8b557914dad0c461b59c8a3716413be614f24ea1fee47853
"['modules', 0, 'chapters', 3, 'lessons', 1, 'title']",0,Lesson 1: <strong>Arab  States</strong>,33c53bb1ac7c05140752d73ce79df1b54c54463d912388f48313d6277e0ba122
"['modules', 0, 'chapters', 3, 'lessons', 1, 'description']",0,sustainable energy in the Arab states,ede8179eb9b69c738be0fedb2ccfa4eedb10c332d9390565fecb1077c151b2b2
"['modules', 0, 'chapters', 3, 'lessons', 2, 'title']",0,Lesson 2: <strong>Latin America and the Caribbean</strong>,7970d5918166b523ac6456028050270e6b1518a7f4a19589790819563a5fb8f7
"['modules', 0, 'chapters', 3, 'lessons', 2, 'description']",0,Sustainable energy in Latin America and the Caribbeans,7b943fce2042a09b58d89253f3ecdb3c609ff5ec21a9c0c36cb6907d38d9f50b
"['modules', 0, 'chapters', 3, 'lessons', 3, 'title']",0,Lesson 3: <strong>Africa</strong>,68b88f5c8c4d612bd27a6a574755dad998d51b6bdc2cddb27105174396460bc6
"['modules', 0, 'chapters', 3, 'lessons', 3, 'description']",0,Sustainable energy in Africa,e0c5ba76dff2be2b8d45329856e46841db361ab0a648b41071bfab9d5affc448
"['modules', 0, 'chapters', 3, 'lessons', 4, 'title']",0,Lesson 4: <strong>Asia and the Pacific</strong>,53fb9e2c9d7b77cbb8f21d2fe5e2a6e2a4d8306643dfc5483d0230ecc772f728
"['modules', 0, 'chapters', 3, 'lessons', 4, 'description']",0,Sustainable energy in Asia Pacific,efe0c48a0396a358a99572736da5e287c22f3f5b87c7d87908915a465b316676
"['modules', 0, 'chapters', 3, 'lessons', 5, 'title']",0,Lesson 5: <strong>Eastern Europe and Central Asia</strong>,47e58e180c81d529ed8189973651fcec28ade4ec310b7f1c607957a0e3f8f455
"['modules', 0, 'chapters', 3, 'lessons', 5, 'description']",0,Sustainable energy in Eastern Europe and Central Asia,c80723e1aac4ba0408d93cfaf83faf097dc312fbd71464b7ae591760f282162f
"['modules', 0, 'chapters', 3, 'lessons', 6, 'title']",0,Chapter 3 Outro,962c4d3e9dfd699621d61cf50219c50ceef5fcd121b12becf3d40a30067cdead
"['modules', 0, 'chapters', 3, 'lessons', 6, 'description']",0,Outro of the chapter and wrap-up.,106690cf445cf90197d996d0a49c12e84d3f1aa1b4576fad0eecee9ad8ecc035
"['modules', 0, 'chapters', 4, 'title']",0,"Chapter 4: <strong>Approaches, Methods and Tools for Strategic Innovation</strong>",12ba08dce9baf80c27a0ef11ef219f6791c3a9408a1805f03c3118575329f41b
"['modules', 0, 'chapters', 4, 'description']",0,"This chapter explores methods, approaches, and tools to operationalize the energy for development approach.",a6c8f73fa7b257bb0424780a1bd5bf38086e052857fca5c6cd23b71626e74970
"['modules', 0, 'chapters', 4, 'lessons', 0, 'title']",0,Chapter 4 Introduction,ce4b99880b283251257679b1822a12012774bb667a46ff4b5b039806826d8bab
"['modules', 0, 'chapters', 4, 'lessons', 1, 'title']",0,Lesson 1: <strong>Leveraging Cross-Cutting Approaches to Drive Systemic Change</strong>,1d5cbfc18398a62685f3802dfed3a74eab520a6af050608f321f3ed3ded314dc
"['modules', 0, 'chapters', 4, 'lessons', 1, 'description']",0,Adopting varied approaches and tools to deliver the energy transition,52070d670bdef7ec757cd5bb046d33029e7b1ba2889ce6c5d78fc60653702758
"['modules', 0, 'chapters', 4, 'lessons', 2, 'title']",0,Lesson 2: <strong>Addressing SDG7 Trade-offs for Sustainable Outcomes</strong>,b7c1cd1be9e1c0ff32dfe3ddf87535c458e9756a8722124d415cec4c21df35ea
"['modules', 0, 'chapters', 4, 'lessons', 2, 'description']",0,"Africa‚Äôs energy transition is a transformative opportunity to address energy poverty, unlock green growth, and foster inclusive development.",f797cd2db6e473c4299ede682d165eafa28db46e8d399349c546facba61292f0
"['modules', 0, 'chapters', 4, 'lessons', 3, 'title']",0,Lesson 3: <strong>Scaling Strategies that Enable Equitable Energy Transitions</strong>,251dec1f4a572fd9b8ac7f91877c240dd63b9d21b2ed161cabc2881b5d6b99b3
"['modules', 0, 'chapters', 4, 'lessons', 4, 'title']",0,Chapter 4 Outro,55a03eecae1c33be8c71f9b7ec2993e44e30636848d76f862e1179d465e5c699
"['modules', 0, 'chapters', 4, 'lessons', 4, 'description']",0,Outro of the chapter and wrap-up.,106690cf445cf90197d996d0a49c12e84d3f1aa1b4576fad0eecee9ad8ecc035
"['modules', 0, 'chapters', 5, 'title']",0,Module 1 Outro,46c656a283236898257448d445221a7db82ac8f6b5e8d7cab2583ff40d5a4b3c
"['modules', 0, 'chapters', 5, 'description']",0,"Module 1 offers an overview of sustainable energy within the global development agenda, linking it to challenges like climate change and energy poverty, and opportunities for economic growth and energy security.",883796d9dd2f55a1f3647263aed87c97a9473fa4bd40f3e64311596fe6151e5c
"['modules', 0, 'chapters', 5, 'description']",1,"It introduces SDG7, its progress, and interlinkages, while presenting UNDP’s Energy Moonshot and the Sustainable Energy Academy’s tools for accelerating energy transitions.",db80cea971bc8905c8a076e77e3f03bb402b174fa165d946d1915c9aaf780fa0
"['modules', 0, 'chapters', 5, 'lessons', 0, 'title']",0,Module 1 Quiz,b97a96d9908bb6e77b1acd207b771cef49cf50f543b22a7bef646ebd3ad8fe06
"['modules', 0, 'chapters', 5, 'lessons', 0, 'description']",0,Test your understanding of all lessons in this module.,126719e4d0a6d8494be6872dbe0147a08117ef9b6058e98dc406d80e229e9f8f
"['modules', 0, 'chapters', 5, 'lessons', 1, 'title']",0,Module 1 Outro,46c656a283236898257448d445221a7db82ac8f6b5e8d7cab2583ff40d5a4b3c
"['modules', 1, 'title']",0,Energy Access and Inclusive Energy Services,c4239ac138a237fa5da39f2b3df8e02feecf31d8ab452f41882a9b63e5448660
"['modules', 1, 'description']",0,"Module 2 explores energy access and inclusive energy services as fundamental human rights and essential to social progress, economic growth, and development.",e34d0a672992e5c97a179f046441d54cabfa52d7b048ee5ff8edea5fc3eb7b90
"['modules', 1, 'description']",1,"It addresses persistent global gaps—where 685 million lack access—and highlights how the sustainable energy transition can correct imbalances, improve lives, and deliver equitable, safe, and affordable energy for all.",d197c0173e8d36671e4b0ffae62402e392dbd24ae44b68da4298d498b15eb3ee
"['modules', 1, 'chapters', 0, 'title']",0,Module 2 Introduction,6ed4d51ab7a68a5e7fe0a657ec23c7b2a7902f10a1873a33acdcc9b9ce9759f2
"['modules', 1, 'chapters', 0, 'lessons', 0, 'title']",0,Module 2 Introduction,6ed4d51ab7a68a5e7fe0a657ec23c7b2a7902f10a1873a33acdcc9b9ce9759f2
"['modules', 1, 'chapters', 0, 'lessons', 0, 'description']",0,Introduction and learning objectives for Module 2,62aea7660c1669ee3284a6007d0a1dd6fb39a5373f75decb08ce2670068d3928
"['modules', 1, 'chapters', 1, 'title']",0,"Chapter 1: <strong>Understanding Energy Access: Concepts, Context, and Background</strong>",4b1468d0be91f90a6c0744f6bbee6502c7862762209139db24c837f33a2679a7
"['modules', 1, 'chapters', 1, 'description']",0,"This chapter explores energy access as a human right and a catalyst for unlocking development opportunities, examines energy poverty, and presents solutions to advance equitable, inclusive, and sustainable energy.",ea3aa15e57201103d3f3aa9ffe05000754ab1b55cd48887f389c2ed35f634533
"['modules', 1, 'chapters', 1, 'lessons', 0, 'title']",0,Chapter 1 Introduction,4967392e984184d343aa7f07af423fbd17562cc0b2dccfe55404d5e8cfb2ba6b
"['modules', 1, 'chapters', 1, 'lessons', 1, 'title']",0,Lesson 1: <strong>Core Concepts in Energy Access</strong>,dfe99fcd37f6040ac460dede335338cc7e80ed412c442fadfd9c633abc678584
"['modules', 1, 'chapters', 1, 'lessons', 1, 'description']",0,"This lesson offers a global overview of energy access, highlighting its critical role in human rights, poverty reduction, and inclusive sustainable development.",6389ec1f8f7a1db51d2aa8decbf9e0ffce1544065467cc6e0637c1090287e566
"['modules', 1, 'chapters', 1, 'lessons', 2, 'title']",0,Lesson 2: <strong>Sustainable Energy to power development</strong>,10537b5ad61bbffc4a80640a92580994a8a630d5cf8f2249df046ef42c15a781
"['modules', 1, 'chapters', 1, 'lessons', 2, 'description']",0,"This lesson focuses on  the critical requirements to ensure sustainable energy access, including the building blocks of sustainable energy access",194aa53fd5978ff4bf2c440061701cb4c99194bb93ea465e4779230719c9f6a1
"['modules', 1, 'chapters', 1, 'lessons', 3, 'title']",0,Lesson 3: <strong>Energy Poverty and Fuel Poverty</strong>,fd8b5c574afb161326910608b752f900c9ee4247f25e5568c1ca6a7a2d49ca18
"['modules', 1, 'chapters', 1, 'lessons', 3, 'description']",0,"This lesson covers the reality of energy poverty, its causes and impacts, and the tools to measure the challenge of addressing this issue",ffa944178b0a35032c583aea811c125f24c8c65897e6a1007573770a6fb0fcd4
"['modules', 1, 'chapters', 1, 'lessons', 4, 'title']",0,Chapter 1 Outro,a3066505c8df5f13f89d934abff6b85d7b0ab812d7553e6b61927d746cc6b4d2
"['modules', 1, 'chapters', 1, 'lessons', 4, 'description']",0,Outro of the chapter and wrap-up.,106690cf445cf90197d996d0a49c12e84d3f1aa1b4576fad0eecee9ad8ecc035
"['modules', 1, 'chapters', 2, 'title']",0,"Chapter 2: <strong>Current Status, Trends and Barriers to Energy Access</strong>",ee4f37d544b45f965b63c66e791fdbc0ae419f5b7f3f117eefc5efd68953ac72
"['modules', 1, 'chapters', 2, 'description']",0,"This chapter analyzes global energy access disparities, highlighting barriers, trends, and solutions to improve access for underserved and marginalized populations.",aae4028d07dfd53c9c201b48c1f68712abe4cb182ba17b3dd122b154583d9f52
"['modules', 1, 'chapters', 2, 'lessons', 0, 'title']",0,Chapter 2 Introduction,2ed4868b4179970a36b304c2d2993b7551e0cc7800a8bb07746aedfdd47af7f1
"['modules', 1, 'chapters', 2, 'lessons', 1, 'title']",0,Lesson 1: <strong>Mapping the Global Energy Divide</strong>,dde780bedaa9cfc1accc8ce0caed77f29705c575936e0c17991a25d1b0a6cbdc
"['modules', 1, 'chapters', 2, 'lessons', 1, 'description']",0,"This lesson provides an overview of the key characteristics and statistics of the regional disparities in access to energy services, regions with universal access to regions struggling with energy access.",d9d2c2f5340772a2a00d423d040bd2741f877e8eda62f6e3e68a03a4a0d9d8d4
"['modules', 1, 'chapters', 2, 'lessons', 2, 'title']",0,Lesson 2: <strong>Layers of Inequality in Energy Access</strong>,8aa0d9c339348adae5778f2e34f4112406939649b35e797a7834db1d82956cc8
"['modules', 1, 'chapters', 2, 'lessons', 2, 'description']",0,"This lesson explores recent data on global electricity access, revealing both significant progress and ongoing challenges across different regions, urban and rural areas, and specific vulnerable contexts.",dcfebbb6f34f840dc8787252a15ed2539c20159441432e079196d61d562a68b2
"['modules', 1, 'chapters', 2, 'lessons', 3, 'title']",0,"Lesson 3: <strong>Beyond Electricity: Status of Clean Cooking, Heating and Cooling</strong>",91e2e5df6a7f6c5b1fe71af89125bda432c78e791842070dc1152466349165fa
"['modules', 1, 'chapters', 2, 'lessons', 3, 'description']",0,"This lesson explores the complex challenges obstructing equitable acccess to sustainable energy, highlighting issues in infrastructure and capacity, uneven distirbtuion of investments and the need for comprehensive measurement approaches.",80c9228fe71bd17b6471f3b132596b4347abe10e6c58324983c361ea882c5a2b
"['modules', 1, 'chapters', 2, 'lessons', 4, 'title']",0,Lesson 4: <strong>Challenges for universal energy access</strong>,f328e9e43519a3761dbb76c25931265a9fcace0bafc6c255baddb3393dae872a
"['modules', 1, 'chapters', 2, 'lessons', 4, 'description']",0,"This lesson delves into statistics on the global energy gap, focusing on access to fundamental energy needs: clean cooking, and heating and cooling.",1279dc8ac1e59a553adc9adb9f8b93ba886f3712071535e50287dd6032b69108
"['modules', 1, 'chapters', 2, 'lessons', 4, 'description']",1,"While electricity access often dominates energy access discussions, clean cooking, heating, and cooling are equally vital for human well-being, health, and productivity—yet they remain deeply underserved.",244e5298def3b0f187a5a40b146f1c55231f8eeb29429451f80e5d21c43f6658
"['modules', 1, 'chapters', 2, 'lessons', 5, 'title']",0,Chapter 2 Outro,9f04c62d7cc6e967f6b54a472f357aa0f9576e8ad0be7d680c87501be42ed47f
"['modules', 1, 'chapters', 2, 'lessons', 5, 'description']",0,Outro of the chapter and wrap-up.,106690cf445cf90197d996d0a49c12e84d3f1aa1b4576fad0eecee9ad8ecc035
"['modules', 1, 'chapters', 3, 'title']",0,Chapter 3: <strong>Bridging the Energy Access Gap</strong>,f8a144358064c267a7a41a95d9bef20deb1481b875510eb85d4e40b4a8c0b65f
"['modules', 1, 'chapters', 3, 'description']",0,"This chapter guides building energy systems centered on well-being, justice, and sustainability, emphasizing innovation, inclusivity, partnerships, and community-led solutions.",e8598f3edb2c85853ffc9a7c1a4baa733f82c5c6a1b322e333309aa7c869153f
"['modules', 1, 'chapters', 3, 'lessons', 0, 'title']",0,Chapter 3 Introduction,8d1c3d7a5df58afb8b557914dad0c461b59c8a3716413be614f24ea1fee47853
"['modules', 1, 'chapters', 3, 'lessons', 1, 'title']",0,Lesson 1: <strong>An Intersectional Approach to Energy Access</strong>,dc2519cd505c9e7fc72177ac6a3afa52807243689ba2020f62d091dfeede5d4f
"['modules', 1, 'chapters', 3, 'lessons', 1, 'description']",0,This lesson explores  how an intersectional approach can transform energy access by addressing the overlapping identities that shape people's experience and challenges.,21fe5f540cc462e35af0c7acf4bbc9006248c2fd7a71079315618d2f289f0f5d
"['modules', 1, 'chapters', 3, 'lessons', 1, 'description']",1,The lesson presents practical strategies to operationalize intersectionality in sustainable energy access programming.,eecddcf0361167268e3d62daf1942a01fd137d8748c3c1a399c6ddd3a36d594c
"['modules', 1, 'chapters', 3, 'lessons', 2, 'title']",0,Lesson 2: <strong>Technological Solutions to reach Universal Energy Access</strong>,af33e0ffc8b60034578af77f47e47a711aba610153ffedbdb4123aca63087434
"['modules', 1, 'chapters', 3, 'lessons', 2, 'description']",0,The lesson highlights the key technological solutions that can accelerate the path towards universal energy access while supporting the transition to clean energy.,5a36e1a27d41ce63cae10df8537dd051bd7457cfff740c6a8ef511118a1763a5
"['modules', 1, 'chapters', 3, 'lessons', 3, 'title']",0,Lesson 3: <strong>Business models and Financing Mechanisms for Energy Access</strong>,4e0561f556e212a707ab7742aa5a8f71b76756b637e643d0e13e71aea04b4e2c
"['modules', 1, 'chapters', 3, 'lessons', 3, 'description']",0,This lesson explains how financing mechanisms  and business models can incentivize energy access and inclusive energy services with a focus on underserved and vulnerable communities.,d80083bceab8a83a126ec67a9eff67b67c9dc9dad5b416c955ce9f67d71a4418
"['modules', 1, 'chapters', 3, 'lessons', 4, 'title']",0,Lesson 4: <strong>Policy Frameworks for Energy Access</strong>,6daad03ceaf35bb01736dc03ed5cd17a667447c372fadf6aaba31edb9ea21940
"['modules', 1, 'chapters', 3, 'lessons', 4, 'description']",0,"This lesson explores three policy instruments: subsidies, tax incentives and regulatory reforms, and how they contribute to the promotion of sustainable energy solutions.",cd9e62fce37c36d7c5c2d460f968bf7f4bfd0ebe21a80c95f636083d069b7df3
"['modules', 1, 'chapters', 3, 'lessons', 5, 'title']",0,"Lesson 5: <strong>Unlocking Energy Access with Digital Tools, Data and AI</strong>",949b9df00cb78b4223ccfc06b334c565fe6c8ce91a62e54213351776a5986a9f
"['modules', 1, 'chapters', 3, 'lessons', 5, 'description']",0,"This lesson explores the importance of multi-stakeholder partnerships and the role of international organizations, NGOs, development agencies, the private sector and local communities in advancing energy access objectives, as well as the associated challenges and conflicts.",e786f9729ed1c942ab5d9e12300e844b80dd492fb335ae164681bcfba8f1c9e5
"['modules', 1, 'chapters', 3, 'lessons', 6, 'title']",0,Chapter 3 Outro,962c4d3e9dfd699621d61cf50219c50ceef5fcd121b12becf3d40a30067cdead
"['modules', 1, 'chapters', 3, 'lessons', 6, 'description']",0,Outro of the chapter and wrap-up.,106690cf445cf90197d996d0a49c12e84d3f1aa1b4576fad0eecee9ad8ecc035
"['modules', 1, 'chapters', 4, 'title']",0,Module 2 Outro,0929b96a37a85040745b90ac4eca907b4271d676af8edbdd1fade1d1a72ba6e2
"['modules', 1, 'chapters', 4, 'description']",0,"Module 2 explores energy access and inclusive energy services as fundamental human rights and essential to social progress, economic growth, and development.",e34d0a672992e5c97a179f046441d54cabfa52d7b048ee5ff8edea5fc3eb7b90
"['modules', 1, 'chapters', 4, 'description']",1,"It addresses persistent global gaps—where 685 million lack access—and highlights how the sustainable energy transition can correct imbalances, improve lives, and deliver equitable, safe, and affordable energy for all.",d197c0173e8d36671e4b0ffae62402e392dbd24ae44b68da4298d498b15eb3ee
"['modules', 1, 'chapters', 4, 'lessons', 0, 'title']",0,Module 2 Quiz,ae0c4f7153d6c227165ce2d1d773964db78687f3288116d6b38ac9db867a202b
"['modules', 1, 'chapters', 4, 'lessons', 0, 'description']",0,Test your understanding of all lessons in this module.,126719e4d0a6d8494be6872dbe0147a08117ef9b6058e98dc406d80e229e9f8f
"['modules', 1, 'chapters', 4, 'lessons', 1, 'title']",0,Module 2 Outro,0929b96a37a85040745b90ac4eca907b4271d676af8edbdd1fade1d1a72ba6e2
"['modules', 2, 'title']",0,Just Energy Transition,3434cacdf440993094f7825d5e2f3a86a424f05d69bba2071eb1370d47e6145e
"['modules', 2, 'description']",0,"Module 3 explores the Just Energy Transition, emphasizing equity, justice, and inclusion in the shift to sustainable energy.",26d149a7c64f4b539b6bf07c170c02c8d343c137b1fa4c1198cfced512434dff
"['modules', 2, 'description']",1,"It addresses social and environmental challenges, promotes locally tailored solutions, and highlights the need for community-led action, worker support, and economic diversification to ensure no one is left behind in the transition.",92d4a960abf601312fce30aa1669beb655b02dd44e3e113bdbf1966725b21ec1
"['modules', 2, 'chapters', 0, 'title']",0,Module 3 Introduction,9e477cd05f4960e4354aa8b27d2f2c4327c8bf2063afc3b88354a7c2d0d27542
"['modules', 2, 'chapters', 0, 'lessons', 0, 'title']",0,Module 3 Introduction,9e477cd05f4960e4354aa8b27d2f2c4327c8bf2063afc3b88354a7c2d0d27542
"['modules', 2, 'chapters', 0, 'lessons', 0, 'description']",0,Introduction and learning objectives for Module 3,c5a430375b18ba437a04ba9ab01ed16563824ed213b18969d33486ea66506a33
"['modules', 2, 'chapters', 1, 'title']",0,Chapter 1: <strong>Introduction to the Energy Transition Landscape</strong>,2c399850c6ac14cdf5be893da1e1d928bcc6e3438dc83bf24e61c7fa34c958c6
"['modules', 2, 'chapters', 1, 'description']",0,"This chapter introduces the just energy transition, highlighting its social, gender, and ethical dimensions beyond decarbonization, and explores practical applications.",b96c279baf2063f7ade60a5458706c0ea481aae3ca433b6d4aaefed281c32145
"['modules', 2, 'chapters', 1, 'lessons', 0, 'title']",0,Chapter 1 Introduction,4967392e984184d343aa7f07af423fbd17562cc0b2dccfe55404d5e8cfb2ba6b
"['modules', 2, 'chapters', 1, 'lessons', 1, 'title']",0,Lesson 1: <strong>The Energy Transition In Context</strong>,0da5bb2f8d75e00d4219078df4b57c1a2b299d531e6f1026afe566cea5e751f2
"['modules', 2, 'chapters', 1, 'lessons', 1, 'description']",0,"This lesson explores how a just transition is about more than just technical solutions or policy frameworks; it is about addressing deep-rooted socio-economic disparities, fostering participatory governance, and empowering all stakeholders to engage in the transition process.",8de653d482f9e134648aeeac8a909b7fb69731b97b7fda2babbde1c76fe57817
"['modules', 2, 'chapters', 1, 'lessons', 2, 'title']",0,Lesson 2: <strong>Unpacking The Concept Of A Just Energy Transition</strong>,1b99884c8d0d533a0424a107842d362895d59b5ed54098bc44e669a73736ee67
"['modules', 2, 'chapters', 1, 'lessons', 2, 'description']",0,"This lesson outlines the just energy transition, focusing on fairness, equity, and inclusivity in sustainable energy shifts.",3d60f2e2f266e77f3155210f5776cc86ad6859a48dded812bcc54e7c8b6ac870
"['modules', 2, 'chapters', 1, 'lessons', 2, 'description']",1,"Originating from labor rights, it addresses historical inequities through environmental, climate, and energy justice.",fa779b707af9ea9da7c24437a6e58ef98bf7b9792a655c4f3c3e64a58aa85a2e
"['modules', 2, 'chapters', 1, 'lessons', 2, 'description']",2,It highlights localized solutions and global frameworks like the AJET principles to balance urgent climate action with social and economic justice.,18a212b62f7c86c378c7b7a9dd8d005dccd9228327b3127b9de20577c71296af
"['modules', 2, 'chapters', 1, 'lessons', 3, 'title']",0,Lesson 3: <strong>Key Challenges In The Global South</strong>,58a2966674f28ddf58ef9ccff4a4c6771e5d17e390c5420e9ec12c9316ca4ac6
"['modules', 2, 'chapters', 1, 'lessons', 3, 'description']",0,This lesson delves into the specific challenges and opportunities that developing countries face in the context of the just energy transition.,a531b7f33a374844f9ec74ca125a108239dd6d6cec0a6c1021d982f55a837cf2
"['modules', 2, 'chapters', 1, 'lessons', 3, 'description']",1,"By examining these dynamics, we aim to shed light on strategies and initiatives that can facilitate a transition towards a more sustainable and equitable energy future for all.",4580fdb761d6d1bcd2c6c178f0b5de2fa400e4d8737e677a0eff12fe89110026
"['modules', 2, 'chapters', 1, 'lessons', 4, 'title']",0,Chapter 1 Outro,a3066505c8df5f13f89d934abff6b85d7b0ab812d7553e6b61927d746cc6b4d2
"['modules', 2, 'chapters', 1, 'lessons', 4, 'description']",0,Outro of the chapter and wrap-up.,106690cf445cf90197d996d0a49c12e84d3f1aa1b4576fad0eecee9ad8ecc035
