Lesson,Resource #,Title,Description (60 words max),Link,Source
1.3.4,3,Achieving Sustainable Energy for All in Asia and the Pacific,"Sustainable Energy, Energy for All, Energy Efficiency, 
Renewable Energy, Climate Change, Policy and Governance.",https://www.undp.org/asia-pacific/publications/achieving-sustainable-energy-all-asia-pacific,UNDP
1.3.5,1,Africa’s Journey Towards Sustainable Mobility,"Global Consensus on Sustainable Transport, Africa Climate Summit (ACS), Nairobi Declaration , transport-focused Side Events, E-Mobility in Africa",https://changing-transport.org/africas-journey-towards-sustainable-mobility/,Netherlands Enterprise Agency
1.3.5,2,Financing Clean Energy in Africa,"Investment, Renewable Energy, Development Finance",https://www.iea.org/reports/financing-clean-energy-in-africa,IEA
1.3.5,3,System Planning Test SPLAT Models for Africa,"SPLAT (System Planning Test) Models for Africa, Long-term energy planning, Renewable energy integration, Capacity building in energy planning, Strategic development of Africa's energy sector",https://www.irena.org/Energy-Transition/Planning/SPLAT-Models-for-Africa,IRENA
1.4.1,1,UNIDO Energy Branch 2015: Advancing Sustainable Energy Solutions,"Energy Access, Industrial Energy Efficiency, Renewable Energy, Sustainable Development, Clean Technologies",https://www.unido.org/fileadmin/user_media_upgrade/What_we_do/Topics/Energy_access/UNIDO_ENERGY_Branch_2015.pdf,UNIDO
1.4.1,2,Asia energy profile : energy sector performance (English),"Expanding renewables, Transforming conventional power, Strengthening electrical grids, Driving industrial decarbonization, Securing the supply chain and necessary minerals",https://energy.ec.europa.eu/document/download/73d666b2-f6b4-4623-bc92-5981c3e73b56_en?filename=01%20-%20Energy%20Modelling%20in%20the%20EU%20and%20China.pdf,IRENA
1.4.1,3,Public Finance For Universal Energy Access,"Intelligent Transport Systems (ITS), Sustainable Mobility Solutions, Technology Integration in Transport,
Benefits and Challenges of ITS",https://www.esmap.org/Toward_a_Framework_for_Sustainable_Heating_Transition_ECA,UNDP
2.1.1,1,Energy Access: Towards Achievement of SDG7 & Net Zero Emissions,"Energy Access, Sustainable Development, Economic Growth, Net-Zero Transition",https://www.esmap.org/energy-access_towards_achievement_sdg7_net_zero_emissions,ESMSP
2.1.1,2,Energy Access and Air Pollution,"Energy Access, Public Health, Air Quality",https://www.iea.org/reports/energy-access-and-air-pollution,IEA
2.1.1,3,A Survey of International Activities in Energy Access and Electrification,"Energy Access, Electrification Strategies, Rural Development, International Cooperation, Policy Recommendations",https://sustainabledevelopment.un.org/content/documents/1272A%20Survey%20of%20International%20Activities%20in%20Energy%20Access%20and%20Electrification.pdf,United Nations Development Programme
2.1.2,1,RE-organising Power Systems for the Transition,"Power system reform, renewable energy grid integration, policy measures",https://www.irena.org/Publications/2022/Jun/RE-organising-Power-Systems-for-the-Transition,IRENA
2.1.2,2,Power Planning to the People,"Energy access, power system planning, community engagement, sustainable electricity",https://rmi.org/insight/power-planning-to-the-people/,RMI
2.1.2,3,Bottlenecks and Breakthroughs in Power Systems & Clean Energy,"Power System, Clean Energy, Renewable Transition, Grid Infrastructure",https://www.energyalliance.org/news-insights/bottlenecks-and-breakthroughs/,Global Energy Alliance for People and Planet
2.1.3,1,Delivering Energy Services for Poverty Reduction: Success Stories,"Energy Services, Poverty Reduction, 
Success Stories, Sustainable Development.",https://www.undp.org/publications/delivering-energy-services-poverty-reduction-success-stories,UNDP
2.1.3,2,Renewables 2016 Global Status Report,"Energy efficiency, policy evolution, clean energy, energy transitions",https://www.irena.org/Publications/2023/Jul/Geopolitics-of-the-Energy-Transition-Critical-Materials,REN 21
2.1.3,3,Global Energy Transformation Guide: Fossil Fuel Transition Strategies,"Fossil fuel phase-out, transition policies, economic impacts, clean energy",https://rmi.org/insight/global-energy-transformation-guide-fossil-fuel-transition-strategies/,RMI
2.2.1,1,Progress on basic energy access reverses for first time in a decade,"Basic Energy Access, Global Progress, Energy",https://www.who.int/news/item/12-06-2024-progress-on-basic-energy-access-reverses-for-first-time-in-a-decade,World Health Organization
2.2.1,2,Guidebook for Improved Electricity Access Statistics,"Electricity access, data collection, energy poverty, statistics",https://www.iea.org/reports/guidebook-for-improved-electricity-access-statistics,IEA
2.2.1,3,Asia-Pacific Progress in Sustainable Energy,"Debt Swaps, Environmental Benefits, Debt Relief Strategies,
Policy Implementation",https://trackingsdg7.esmap.org/data/files/download-documents/asia-pacific_regional_gtf_2017_report.pdf,ECA
2.2.2,1,Global Status Report 2023,"Renewable energy, global status, progress, trends",https://www.ren21.net/gsr-2023-launch-30-march/,REN 21
2.2.2,2,Renewable Energy Policy Network for the 21st Century (REN21) Renewables 2024 Global Status Report,"Current status of renewable energy, policy developments, and market trends.","https://www.ren21.net/gsr-2024/#:~:text=RENEWABLES%20GLOBAL%20STATUS%20REPORT%202024%20COLLECTION&text=In%20addition%20to%20providing%20a,%2C%20industry%2C%20transport%20and%20agriculture.",REN21
2.2.2,3,Renewables 2016 Global Status Report,"Renewable Energy Trends, Green Financing, National Energy Strategies, Policy Development",http://www.ren21.net/wp-content/uploads/2016/10/REN21_GSR2016_FullReport_en_11.pdf,Renewable Energy Policy Network for the 21st Century
2.2.3,1,Public Finance For Universal Energy Access,"Finance & Investement, Public Finance in Energy",https://www.irena.org/Publications/2024/May/Public-finance-for-universal-energy-access,IRENA
2.2.3,2,The Energy Transition: A Catalyst to Address the Global Triple Crisis,"Energy transition, climate crisis, energy access, global challenges",https://www.seforall.org/publications/the-energy-transition-a-catalyst-to-address-the-global-triple-crisis,IRENA
2.2.3,3,Security of Clean Energy Transitions 2022,"Energy security, transition challenges, policy frameworks",https://www.iea.org/reports/security-of-clean-energy-transitions-2022,IEA
2.3.1,1,Green Hydrogen: A People-Centred Approach to Sustainable Development in Namibia,"Green hydrogen as a driver for sustainable industrial development, Policy frameworks for green hydrogen in developing countries, Integration of green hydrogen into national energy strategies, Industrial decarbonization.",https://www.undp.org/namibia/stories/green-hydrogen-people-centred-approach-sustainable-development-namibia,UNDP
2.3.1,2,Independent Evaluation of Green Climate Fund's Energy Sector Portfolio and Approach,"Evaluation of Green Climate Fund’s (GCF) Energy Portfolio, Renewable Energy Investments, Energy Transition in Developing Countries,
Climate Finance for Clean Energy, Policy and Institutional Frameworks for Green Energy, Energy Sector Impact Assessmen",https://ieu.greenclimate.fund/sites/default/files/document/070924-energy-sector-evaluation-final-report_0.pdf,Green Climate Fund
2.3.1,3,Beyond Borders: Power Grid Interconnections and Regional Electricity Markets for the Sustainable Energy Transition,"Regional Energy Integration, Energy Supply Security, Climate Change Mitigation, Political and Financial Challenges",https://openknowledge.worldbank.org/entities/publication/4020f27e-341c-4883-a3ad-b603fc82cb48,World Bank
2.3.2,1,Energy Technology Perspectives 2023,"Technological innovations for climate goals, decarbonization pathways,greenhouse gas emissions reduction, investment needs for technological advancements, policy frameworks for technology adoption and sectoral transitions (electricity, transport, ind",https://www.iea.org/reports/energy-technology-perspectives-2023,IEA
2.3.2,2,Renewable Solutions in End Uses: Heat Pump Costs and Markets,"Heat pumps, renewable energy solutions, market analysis, energy efficiency",https://www.irena.org/Publications/2022/Nov/Renewable-solutions-in-end-uses-Heat-pump-costs-and-markets,IRENA
2.3.2,3,The Energy Transition in 2025: What to Watch For,"Energy transition, renewable energy, decarbonization, energy policy, technological innovation, market trends, sustainability, climate action.",https://rmi.org/the-energy-transition-in-2025-what-to-watch-for/,Rocky Mountain Institute
2.3.3,1,Making the Clean Energy Transition Affordable,"Energy affordability, economic policies, financing mechanisms, equitable transition",https://rmi.org/insight/making-the-clean-energy-transition-affordable/,RMI
2.3.3,2,Accerlating the Energy Transition in Emerging Markets – Strategies for Unlocking Investment,"The report covers the current status of renewable energy, trends in global energy demand, advancements in renewable technologies, and the role of renewables in meeting future energy needs. It analyzes the global shift towards renewable energy and its",https://www.irena.org/Publications/2023/May/The-cost-of-financing-for-renewable-power,IRENA
2.3.3,3,Mainstreaming Financial Aggregation for Distributed Renewable Energy,"Financial Aggregation for Renewable Energy,  Distributed Renewable Energy Solutions, Scaling Sustainable Energy Investments, Policy and Regulatory Frameworks,
Innovative Financing Mechanisms",https://www.undp.org/publications/mainstreaming-financial-aggregation-distributed-renewable-energy,UNDP
2.3.4,1,Policy frameworks for pumped storage hydropower development,"Hydropower, Energy storage, Policy frameworks",https://www.hydropower.org/publications/pumped-storage-policy-framework,International Hydropower Association
2.3.4,2,Fostering Effective Energy Transition 2023,"Energy transition, policy frameworks, clean energy, sustainable development",https://www3.weforum.org/docs/WEF_Fostering_Effective_Energy_Transition_2023.pdf,WEF
2.3.4,3,Renewable Energy Targets in 2022,"Renewable energy, energy targets, global progress, policy frameworks",https://www.irena.org/Publications/2022/Nov/Renewable-energy-targets-in-2022,IRENA
2.3.5,1,Derisking Renewable Energy Investment,"Grid modernization, power systems, energy resilience, technological innovation",https://www.iea.org/reports/skills-development-and-inclusivity-for-clean-energy-transitions,IRENA
2.3.5,2,Delivering Sustainable Energy in a Changing Climate,"Sustainable Energy for Development, Renewable Energy and Energy Efficiency, Energy Access and Poverty Reduction, Climate Change Mitigation and Adaptation, Strengthening Institutional Capacity and Policy Frameworks, Partnerships and Collaboration for ",https://www.un-energy.org/wp-content/uploads/2017/01/UNDP-Energy-Strategy-2017-2021.pdf,UNDP
2.3.5,3,Vast Federal Lands Have Potential for Renewable Energy - But Only a Small Fraction Is Needed,"Renewable Energy Potential on Federal Lands, Land Use for Solar and Wind Energy, Energy Infrastructure Development, Policy and Regulation for Renewable Projects, Environmental Impact and Conservation, Sustainable Land Management, Energy Transition an",https://www.nrel.gov/news/program/2025/vast-federal-lands-have-potential-for-renewable-energy-but-only-a-small-fraction-is-needed.html,National Renewable Energy Laboratory
3.1.1,1,Securing the Energy Transition,"Energy transition, security, resilience, infrastructure",https://www.weforum.org/whitepapers/securing-the-energy-transition/,RMI
3.1.1,2,"Critical Transitions: Circularity, equity, and responsibility in the quest for energy transition minerals","Energy Transition Minerals, Circular Economy & Resource Efficiency, Equity in the Energy Transition, Climate Change & Energy Transition",https://wedocs.unep.org/handle/20.500.11822/46623,UNEP
3.1.1,3,AFD and the Just Energy Transition,"Just energy transition, Sustainable development, Climate finance",https://www.afd.fr/en/ressources/afd-and-just-energy-transition,French Development Agency
3.1.2,1,Finding Common Ground for a Just Energy Transition: Labour and Employer Perspective,"Just Transition, Employment, Renewable Energy Workforce",https://www.irena.org/Publications/2023/Aug/Finding-common-ground-for-a-just-energy-transition-Labour-and-employer-perspectives,IRENA
3.1.2,2,Sector Coupling: A Key Concept for Accelerating the Energy Transformation,"Sector coupling, energy transformation, decarbonization, system integration",https://www.irena.org/Publications/2022/Dec/Sector-coupling-A-key-concept-for-accelerating-the-energy-transformation,IRENA
3.1.2,3,Gender equality in the sustainable energy transition,"Gender Equality, Sustainable Energy, Transition",https://www.unwomen.org/en/digital-library/publications/2023/05/gender-equality-in-the-sustainable-energy-transition,UN Women
3.1.3,1,The Growing Debt Burdens of Global South Countries: Standing in the Way of Climate and Development Goals,"Debt Burdens in the Global South, Impact on Climate Goals,
Development Challenges, Policy Recommendations",https://www.cepr.net/report/the-growing-debt-burdens-of-global-south-countries-standing-in-the-way-of-climate-and-development-goals/,CEPR
3.1.3,2,The Sustainable Development Goals Report 2023: Special Edition,"A key topic is sustainable energy, with an emphasis on advancements and gaps in achieving global energy goals. It assesses global and regional progress on the SDGs and highlights key trends and data.",https://unstats.un.org/sdgs/report/2023/,UN
3.1.3,3,Dutch Green Hydrogen proposition for South Africa,"Dutch-South Africa collaboration on green hydrogen,
Green hydrogen as a solution for decarbonization, 
Potential benefits of green hydrogen for energy security,
Economic opportunities and job creation in South Africa,
Investment opportunities in gree",https://www.rvo.nl/sites/default/files/2023-08/Dutch-GH2-proposition-for-South-Africa.pdf,Netherlands Enterprise Agency
3.2.1,1,Security of Clean Energy Transitions 2022,"Offshore Energy, Blue Economy, Investment Strategies",https://www.irena.org/Publications/2022/Apr/Grid-codes-for-renewable-powered-systems,IRENA
3.2.1,2,Renewable Energy and Sustainability Report,"Renewable Energy, Sustainability, Environmental Impact, Human Health, Energy Access, Energy Security, Economic Development, Job Creation, Climate Change Mitigation, Best Practices",https://www.ren21.net/renewable-energy-and-sustainability-report-2024/,Renewable Energy Policy Network for the 21st Century
3.2.1,3,UN SDSN Global Climate Hub: Modelling Net Zero Pathways,"Intelligent Transport Systems (ITS), Sustainable Mobility Solutions, Technology Integration in Transport,
Benefits and Challenges of ITS",https://www.undp.org/sites/g/files/zskgke326/files/publications/Financing_the_2030_Agenda_CO_Guidebook.pdf,UNDP
3.2.2,1,"Decarbonization, Energy Policy, Net-Zero Pathways","Cost trends, renewable energy investments, technology efficiency",https://un-energy.org/wp-content/uploads/2017/01/1608Electricity-and-Education.pdf,Mckinsey
3.2.2,2,Energy Modelling in the EU and China,"Energy Modeling Collaboration between the EU and China, 
Comparative Analysis of Energy Systems, Policy Development for Sustainable Energy, Scenario Analysis in Energy Planning",https://www.iea.org/reports/electricity-market-report-2023,IRENA
3.2.2,3,Skills Development and Inclusivity for Clean Energy Transitions,"Workforce development, diversity, clean energy, employment policies",https://www.iea.org/reports/skills-development-and-inclusivity-for-clean-energy-transitions,IEA
3.2.3,1,Solar PV: A Gender Perspective,"Renewable energy deployment, policy frameworks, investment challenges",https://www.iea.org/reports/tracking-clean-energy-innovation-in-the-business-sector-an-overview,IRENA
3.2.3,2,Generating Meaningful Energy Systems Models for Africa,"Explanation of energy modeling, Importance of energy modeling in planning, Different types of energy models, Applications of energy modeling in policy and decision-making",https://www.un-energy.org/wp-content/uploads/2017/01/UNDP-Energy-Strategy-2017-2021.pdf,Carbon Trust
3.2.3,3,Scaling Up Investments in Ocean Energy Technologies,"Progress on Sustainable Development Goal 7 (SDG 7) in the Asia-Pacific region, Energy access and electrification rates, Renewable energy adoption and trends, Energy efficiency improvements, Regional challenges and opportunities in achieving SDG 7",https://unctad.org/publication/trade-and-development-report-update-april-2024,IRENA
3.2.4,1,Understanding the Clean Energy Transition with Community-Driven DRE Projects in Germany and Sub-Saharan Africa,"Clean Energy Transition, Community Energy Projects, Government Support, Business Models",https://www.ruralelec.org/publication/understanding-the-clean-energy-transition-with-community-driven-dre-projects-in-germany-and-sub-saharan-africa/,Alliance for Rural Electrification
3.2.4,2,Achieving Sustainable Energy for All in Asia and the Pacific,Clean energy technology manufacturing and material production.,https://www.nrel.gov/news/program/2025/vast-federal-lands-have-potential-for-renewable-energy-but-only-a-small-fraction-is-needed.html,REN21
3.2.4,3,Gender Equality in the Sustainable Energy Transition,"Training on energy modeling tools, Development of efficient energy systems, Capacity building for energy experts, Collaboration among various stakeholders, Application of energy modeling for sustainable energy planning",https://sdgs.un.org/sites/default/files/2023-07/2023%20Policy%20Briefs%20in%20Support%20of%20the%20High-Level%20Political%20Forum-071023.pdf?_gl=1*16t6zhv*_ga*MTMxMDE1ODkxMi4xNzIxMjA5NzY0*_ga_TK9BQL5X7Z*MTcyMjQzNTAwNS4yLjEuMTcyMjQzNTA4Ni4wLjAuMA..,IRENA
3.3.1,1,Geopolitics of the Energy Transition: Critical Materials,"Critical Minerals, Energy Security, Supply Chains",https://www.irena.org/Publications/2023/Jul/Geopolitics-of-the-Energy-Transition-Critical-Materials,IRENA
3.3.1,2,Critical Minerals Policy Tracker,"Critical minerals policies, supply chain security, energy transition",https://www.iea.org/reports/critical-minerals-policy-tracker,IEA
3.3.1,3,Critical Materials for the Energy Transition: Rare Earth Elements,"Rare earth materials, supply chains, energy transition, critical minerals",https://www.irena.org/Technical-Papers/Critical-Materials-For-The-Energy-Transition-Rare-Earth-elements,IRENA
3.3.2,1,Energy Technology Perspectives 2024,Clean energy technology manufacturing and material production.,https://www.iea.org/events/energy-technology-perspectives-2024,IEA
3.3.2,2,Tracking Clean Energy Progress 2023,"Clean energy transition, technology progress, climate action",https://www.iea.org/reports/tracking-clean-energy-progress-2023,IEA
3.3.2,3,Accelerating Hydrogen Deployment in the G7,"Hydrogen energy, G7 countries, energy transition, clean energy",https://www.irena.org/Publications/2022/Nov/Accelerating-hydrogen-deployment-in-the-G7,IRENA
3.3.3,1,The Value of Urgent Action on Energy Efficiency,"Energy savings, policy urgency, carbon footprint reduction, climate benefits",https://www.iea.org/reports/the-value-of-urgent-action-on-energy-efficiency,IEA
3.3.3,2,Securing Clean Energy Technology Supply Chains,"Supply chain resilience, clean tech, energy security, policy frameworks",https://www.iea.org/reports/securing-clean-energy-technology-supply-chains,IEA
3.3.3,3,Accelerating the Decarbonization of Buildings: The Net Zero Carbon Cities Building Value Framework,"Building emissions, urban sustainability, green infrastructure, carbon reduction",https://www.weforum.org/reports/accelerating-the-decarbonization-of-buildings-the-net-zero-carbon-cities-building-value-framework,RMI
3.4.1,1,Delivering Energy Services for Poverty Reduction: Success Stories,"Renewable Energy Potential on Federal Lands, Land Use for Solar and Wind Energy, Energy Infrastructure Development, Policy and Regulation for Renewable Projects, Environmental Impact and Conservation, Sustainable Land Management, Energy Transition an","https://www.unwomen.org/en/digital-library/publications/2023/05/gender-equality-in-the-sustainable-energy-transition#:~:text=Publication%20year%3A%202023&text=UN%20Women%20and%20UNIDO%20have,research%20findings%20and%20case%20studies.",Elsevier
3.4.1,2,Implementing Clean Energy Transitions,"Energy Transition, Policy Implementation, Renewable Strategies",https://www.iea.org/reports/implementing-clean-energy-transitions,IEA
